District,Thana,SubOffice,Post Code,location,coordinate
Netrakona,Dhobaura,Sakoai,2417,"2417 Sakoai,Netrakona","24.8816911,90.72714789999999"
Netrakona,Kalmakanda,Kalmakanda,2430,"2430 Kalmakanda,Netrakona","25.0765713,90.88896779999999"
Netrakona,Kendua,Kendua,2480,"2480 Kendua,Netrakona","24.6703752,90.8436885"
Netrakona,Khaliajuri,Khaliajhri,2460,"2460 Khaliajhri,Netrakona","24.689261,91.13290339999999"
Netrakona,Khaliajuri,Shaldigha,2462,"2462 Shaldigha,Netrakona","24.8467601,90.5766964"
Netrakona,Madan,Madan,2490,"2490 Madan,Netrakona","24.7142924,90.9462345"
Netrakona,Moddhynagar,Moddoynagar,2456,"2456 Moddoynagar,Netrakona","24.8816911,90.72714789999999"
Netrakona,Mohanganj,Mohanganj,2446,"2446 Mohanganj,Netrakona","24.8743218,90.979677"
Netrakona,Netrakona Sadar,Baikherhati,2401,"2401 Baikherhati,Netrakona","24.8816911,90.72714789999999"
Netrakona,Netrakona Sadar,Netrakona Sadar,2400,"2400 Netrakona Sadar,Netrakona","24.8550453,90.7152749"
Netrakona,Purbadhola,Jaria Jhanjhail,2412,"2412 Jaria Jhanjhail,Netrakona","24.9800044,90.634631"
Netrakona,Purbadhola,Purbadhola,2410,"2410 Purbadhola,Netrakona","24.9405819,90.5987653"
Netrakona,Purbadhola,Shamgonj,2411,"2411 Shamgonj,Netrakona","24.8422709,90.5813527"
Sherpur,Bakshigonj,Bakshigonj,2140,"2140 Bakshigonj,Sherpur","25.1576648,89.92165639999999"
Sherpur,Jhinaigati,Jhinaigati,2120,"2120 Jhinaigati,Sherpur","25.1859383,90.0629989"
Sherpur,Nakla,Gonopaddi,2151,"2151 Gonopaddi,Sherpur","25.0194045,90.0137328"
Sherpur,Nakla,Nakla,2150,"2150 Nakla,Sherpur","24.9684271,90.1785005"
Sherpur,Nalitabari,Hatibandha,2111,"2111 Hatibandha,Sherpur","25.1266402,90.0770127"
Sherpur,Nalitabari,Nalitabari,2110,"2110 Nalitabari,Sherpur","25.0850233,90.1939932"
Sherpur,Sherpur Shadar,Sherpur Shadar,2100,"2100 Sherpur Shadar,Sherpur","25.0194045,90.0137328"
Sherpur,Shribardi,Shribardi,2130,"2130 Shribardi,Sherpur","25.147401,89.9393363"
