Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Phulpur Eye Hospital,24.9520879,90.3578707,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJ_zwE0zq1VzcRZgOI0j0ooH8,"X925+R4 Phulpur, Bangladesh",7MPGX925+R4
ফুলপুর চক্ষু হাসপাতাল,24.9521247,90.3578224,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",R371,ChIJ81rTley1VzcRpGORB-hRuJM,"X925+R4 Phulpur, Bangladesh",7MPGX925+R4
Shah Jalal cc,24.9586542,90.3665972,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaziatal,ChIJmf7I-vC1VzcRpknhL8v_ZZE,"X958+FJ Phulpur, Bangladesh",7MPGX958+FJ
Phulpur Goverment Hospital,24.9481592,90.3643154,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur,ChIJDQXCioi0VzcRAu2MwY0i0kI,"W9X7+7P Phulpur, Bangladesh",7MPGW9X7+7P
রংধনু জেনারেল হাসপাতাল,24.9478144,90.3639033,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJZ8nfKCa1VzcRjXV97bb1WvQ,"W9X7+4H Phulpur, Bangladesh",7MPGW9X7+4H
Asha General Hospital and diagnostic center,24.9478104,90.3643923,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital gate, Sherpur - Nakla - Phulpur - Mymensingh Highway",ChIJ_8hs4lS1VzcRUcuk6G4kjaI,"W9X7+4Q Phulpur, Bangladesh",7MPGW9X7+4Q
"Upazila Health Complex , Phulpur",24.9477761,90.3644227,4.4,11,"['hospital', 'health', 'point_of_interest', 'establishment']","R 371, ফূলপুর",ChIJ4edajIi0VzcRDf9heG8byfc,"W9X7+4Q Phulpur, Bangladesh",7MPGW9X7+4Q
Seva general hospital and Diagnostic Centre,24.9476608,90.3640205,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sherpur - Nakla - Phulpur - Mymensingh Highway,ChIJ_ZPXGMS1VzcRuet1Kkdhg4k,"W9X7+3J Phulpur, Bangladesh",7MPGW9X7+3J
Shayari Diagnostic Center ( SDC ),24.9476532,90.3639996,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Sherpur - Nakla - Phulpur - Mymensingh Highway,ChIJ2R9oYDm1VzcROPKKxCOY4bg,"W9X7+3H Phulpur, Bangladesh",7MPGW9X7+3H
SHABA GENERAL HOSPITAL,24.9476196,90.3640609,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Amuakanda,ChIJnaEe9Iq1VzcR66nQgTAGsJ8,"W9X7+2J Phulpur, Bangladesh",7MPGW9X7+2J
আশা জেনারেল হাসপাতাল,24.9475441,90.3640579,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJvxkxuVi1VzcRYUZIobB4In4,"W9X7+2J Phulpur, Bangladesh",7MPGW9X7+2J
সিটি জেনারেল হাসপাতাল,24.9473879,90.3643851,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJJ9hkG3m1VzcR8hfsG4MNAYc,"W9W7+XQ Phulpur, Bangladesh",7MPGW9W7+XQ
Popular General Hospital,24.9472688,90.3640914,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJxXqJwMO1VzcR6xa5DlfBsEU,"W9W7+WJ Phulpur, Bangladesh",7MPGW9W7+WJ
"উপজেলা ভেটেরিনারি হাসপাতাল, ফুলপুর",24.9526931,90.3520647,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJh-qT1p21VzcRUiMnfKKXNZE,"X932+3R Phulpur, Bangladesh",7MPGX932+3R
উপজেলা ভেটেরিনারি হসপিটাল,24.9525676,90.3517348,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJN8uTMTe1VzcRmMZ7MDAIyJ4,"X932+2M Phulpur, Bangladesh",7MPGX932+2M
"ভ্যাটেনারি হাসপাতাল, ফুলপুর",24.9526004,90.351708,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJG0-gcou1VzcRY2BXjMxsDjc,"X932+2M Phulpur, Bangladesh",7MPGX932+2M
চড়পাড়া কমিউনিটি ক্লিনিক,24.9667143,90.355668,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJy7NkqTG1VzcR_Zu9fNE_Wm8,"X984+M7 Phulpur, Bangladesh",7MPGX984+M7
লোকনাথ ফার্মেসি,24.9531315,90.3416377,4,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Phulpur Upazila,ChIJv8LKowO1VzcRu0SID2sGZwk,"X83R+7M Phulpur, Bangladesh",7MPGX83R+7M
Time Dental And Health Support Center,24.7620134,90.4014466,3.9,8,"['hospital', 'health', 'point_of_interest', 'establishment']","61 Ganga Das Guha Road, Mymensingh",ChIJmf4chPpPVjcRWMuzhnGIZSU,"QC62+RH Mymensingh, Bangladesh",7MPGQC62+RH
Swadesh Hospital Pvt. Ltd.,24.7539567,90.4039835,3.8,45,"['hospital', 'health', 'point_of_interest', 'establishment']","Swadesh Hospital, Sharda Ghosh Road, Mymensingh",ChIJ0XnPTRtPVjcRwI1sFObFTn8,"QC33+HH Mymensingh, Bangladesh",7MPGQC33+HH
L. Harun Health Complex,24.748677,90.406658,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhaka-Mymensingh Road, Near Girls Cadet College, Chamra Gudam, Mymensingh",ChIJRSipQg9PVjcR6XRGq6HKG_c,"PCX4+FM Mymensingh, Bangladesh",7MPGPCX4+FM
Bashundhara Hospital and Diagnostic Complex,24.7492373,90.4095535,3.8,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Brammopolli road, Charpara, Mymensingh",ChIJU8XvmghPVjcRk_dQ_hsqmIQ,"PCX5+MR Mymensingh, Bangladesh",7MPGPCX5+MR
Zahangir Health Complex (Pvt),24.7487063,90.4094241,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","82/A, Beside Charpara Circle, Purohit Para Road, Mymensingh",ChIJbYI3hQhPVjcRR3W7mJAOT8M,"PCX5+FQ Mymensingh, Bangladesh",7MPGPCX5+FQ
Badhon Hospital,24.7484301,90.4097289,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Purohit Para Road, Mymensingh",ChIJx9tDkAhPVjcRc44XMWNGBdo,"PCX5+9V Mymensingh, Bangladesh",7MPGPCX5+9V
Apex Private Hospital Ltd,24.7480785,90.4094124,4.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Brammopolli Road, Charpara, Mymensingh",ChIJnYurkwhPVjcRp8Aviu8CPmQ,"PCX5+6Q Mymensingh, Bangladesh",7MPGPCX5+6Q
ময়মনসিংহ ইউনিয়ন স্পেশালাইজড হাসপাতাল লিঃ,24.7473629,90.4080437,4.3,8,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhaka-Mymensingh Road, Mymensingh",ChIJZ5HdzwhPVjcRD3U1gGL6khQ,"PCW5+W6 Mymensingh, Bangladesh",7MPGPCW5+W6
Poranganj Clinic and Hospital,24.836891,90.3399807,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJTTAlSpJLVjcRDYOXPULuajE,"R8PQ+QX Abdullapur, Bangladesh",7MPGR8PQ+QX
20 shojja choranchal hospital,24.845436,90.325413,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJudB3j1VLVjcRsB46hU-6it8,"R8WG+55 Abdullapur, Bangladesh",7MPGR8WG+55
Mamtaz Hospital,24.816998,90.3446686,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mymensingh Sadar Upazila,ChIJt_No7y9LVjcRv97jXuK9paA,"R88V+QV Mymensingh, Bangladesh",7MPGR88V+QV
Porangonj clinic & hospital,24.845207,90.3243974,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ47e3oYtLVjcRYylrwyiPUxk,"R8WF+3Q Abdullapur, Bangladesh",7MPGR8WF+3Q
Islamic Mission Hospital,24.8091667,90.3515318,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Parvez Vila,ChIJj3muTEZLVjcRKLIzfC0NOFw,"R952+MJ Mymensingh, Bangladesh",7MPGR952+MJ
