District,Thana,SubOffice,Post Code,location,coordinate
Gazipur,Gazipur Sadar,Gazipur Sadar,1700,"1700 Gazipur Sadar,Gazipur","23.9999405,90.4202724"
Gazipur,Gazipur Sadar,National University,1704,"1704 National University,Gazipur","32.8294835,-117.1272528"
Gazipur,Kaliakaar,Kaliakaar,1750,"1750 Kaliakaar,Gazipur","23.9999405,90.4202724"
Gazipur,Kaliakaar,Safipur,1751,"1751 Safipur,Gazipur","24.0259382,90.273805"
Gazipur,Kaliganj,Kaliganj,1720,"1720 Kaliganj,Gazipur","23.9644781,90.5730713"
Gazipur,Kaliganj,Pubail,1721,"1721 Pubail,Gazipur","23.937641,90.47911760000001"
Gazipur,Kaliganj,Santanpara,1722,"1722 Santanpara,Gazipur","23.9999405,90.4202724"
Gazipur,Kaliganj,Vaoal Jamalpur,1723,"1723 Vaoal Jamalpur,Gazipur","24.081147,90.3978061"
Gazipur,Kapashia,kapashia,1730,"1730 kapashia,Gazipur","24.1124202,90.56656579999999"
Gazipur,Monnunagar,Ershad Nagar,1712,"1712 Ershad Nagar,Gazipur","23.9189235,90.4019162"
Gazipur,Monnunagar,Monnunagar,1710,"1710 Monnunagar,Gazipur","23.8893923,90.41954249999999"
Gazipur,Turag,Nishat Nagar,1711,"1711 Nishat Nagar,Gazipur","23.8955914,90.39356719999999"
Gazipur,Sreepur,Barmi,1743,"1743 Barmi,Gazipur","24.2293392,90.524013"
Gazipur,Sreepur,Bashamur,1747,"1747 Bashamur,Gazipur","23.9999405,90.4202724"
Gazipur,Sreepur,Boubi,1748,"1748 Boubi,Gazipur","23.9999405,90.4202724"
Gazipur,Sreepur,Kawraid,1745,"1745 Kawraid,Gazipur","24.2916562,90.5211283"
Gazipur,Sreepur,Satkhamair,1744,"1744 Satkhamair,Gazipur","24.236309,90.49019179999999"
Gazipur,Sreepur,Sreepur,1740,"1740 Sreepur,Gazipur","24.1996574,90.48090979999999"
Gazipur,Sripur,Tepirbari,1740,"1740 Tepirbari,Gazipur","24.2505439,90.41636899999999"
Gazipur,Sripur,Tengra,1740,"1740 Tengra,Gazipur","24.2324858,90.46554569999999"
Gazipur,Sripur,Rajendrapur,1741,"1741 Rajendrapur,Gazipur","24.0987182,90.4384458"
Gazipur,Sripur,Rajendrapur Canttome,1742,"1742 Rajendrapur Canttome,Gazipur","24.0987182,90.4384458"
Gopalganj,Gopalganj Sadar,Barfa,8102,"8102 Barfa,Gopalganj","23.0818242,89.71768139999999"
Gopalganj,Gopalganj Sadar,Chandradighalia,8013,"8013 Chandradighalia,Gopalganj","23.065611,89.77046639999999"
Gopalganj,Gopalganj Sadar,Gopalganj Sadar,8100,"8100 Gopalganj Sadar,Gopalganj","23.0488146,89.8879304"
Gopalganj,Gopalganj Sadar,Ulpur,8101,"8101 Ulpur,Gopalganj","23.0640212,89.8397775"
Gopalganj,Kashiani,Jonapur,8133,"8133 Jonapur,Gopalganj","28.4598526,77.1571443"
Gopalganj,Kashiani,Kashiani,8130,"8130 Kashiani,Gopalganj","23.1678457,89.7942892"
Gopalganj,Kashiani,Ramdia College,8131,"8131 Ramdia College,Gopalganj","23.1648468,89.8040593"
Gopalganj,Kashiani,Ratoil,8132,"8132 Ratoil,Gopalganj","23.1922826,89.7376657"
Gopalganj,Kotalipara,Kotalipara,8110,"8110 Kotalipara,Gopalganj","22.9892822,90.0279867"
Gopalganj,Maksudpur,Batkiamari,8141,"8141 Batkiamari,Gopalganj","23.0488146,89.8879304"
Gopalganj,Maksudpur,Khandarpara,8142,"8142 Khandarpara,Gopalganj","23.2610546,89.843058"
Gopalganj,Muksudpur,Muksudpur,8140,"8140 Muksudpur,Gopalganj","23.3197792,89.8668809"
Gopalganj,Tungipara,Patgati,8121,"8121 Patgati,Gopalganj","22.8851965,89.8933074"
Gopalganj,Tungipara,Tungipara,8120,"8120 Tungipara,Gopalganj","22.9073374,89.89845079999999"
Kishoreganj,Bajitpur,Bajitpur,2336,"2336 Bajitpur,Kishoreganj","24.2137992,90.9522044"
Kishoreganj,Kuliarchar,Laksmipur,2338,"2338 Laksmipur,Kishoreganj","22.9446744,90.8281907"
Kishoreganj,Bajitpur,Sararchar,2337,"2337 Sararchar,Kishoreganj","24.2213109,90.89716969999999"
Kishoreganj,Bhairob,Bhairab,2350,"2350 Bhairab,Kishoreganj","24.0555274,90.9802452"
Kishoreganj,Hossenpur,Hossenpur,2320,"2320 Hossenpur,Kishoreganj","24.4174091,90.6547768"
Kishoreganj,Itna,Itna,2390,"2390 Itna,Kishoreganj","24.5277311,91.0957418"
Kishoreganj,Karimganj,Karimganj,2310,"2310 Karimganj,Kishoreganj","24.4682983,90.8722801"
Kishoreganj,Katiadi,Gochhihata,2331,"2331 Gochhihata,Kishoreganj","24.3401093,90.82646539999999"
Kishoreganj,Katiadi,Katiadi,2330,"2330 Katiadi,Kishoreganj","24.2459071,90.7937015"
Kishoreganj,Kishoreganj Sadar,Kishoreganj S.Mills,2301,"2301 Kishoreganj S.Mills,Kishoreganj","24.4331227,90.7865655"
Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,2300,"2300 Kishoreganj Sadar,Kishoreganj","24.4405285,90.7791707"
Kishoreganj,Kishoreganj Sadar,Maizhati,2302,"2302 Maizhati,Kishoreganj","24.4331227,90.7865655"
Kishoreganj,Kishoreganj Sadar,Nilganj,2303,"2303 Nilganj,Kishoreganj","24.5030836,90.8100147"
Kishoreganj,Kuliarchar,Chhoysuti,2341,"2341 Chhoysuti,Kishoreganj","24.4331227,90.7865655"
Kishoreganj,Kuliarchar,Kuliarchar,2340,"2340 Kuliarchar,Kishoreganj","24.150838,90.9324791"
Kishoreganj,Mithamoin,Abdullahpur,2371,"2371 Abdullahpur,Kishoreganj","24.3653528,91.1640968"
Kishoreganj,Mithamoin,MIthamoin,2370,"2370 MIthamoin,Kishoreganj","24.4195583,91.0634024"
Kishoreganj,Nikli,Nikli,2360,"2360 Nikli,Kishoreganj","24.3253117,90.9390718"
Kishoreganj,Ostagram,Ostagram,2380,"2380 Ostagram,Kishoreganj","24.2795348,91.1185143"
Kishoreganj,Pakundia,Pakundia,2326,"2326 Pakundia,Kishoreganj","24.3596267,90.7075304"
Kishoreganj,Tarial,Tarial,2316,"2316 Tarial,Kishoreganj","24.5491179,90.8907562"
Madaripur,Barhamganj,Bahadurpur,7932,"7932 Bahadurpur,Madaripur","23.2353204,90.1439237"
Madaripur,Barhamganj,Barhamganj,7930,"7930 Barhamganj,Madaripur","23.3346342,90.18696159999999"
Madaripur,Barhamganj,Nilaksmibandar,7931,"7931 Nilaksmibandar,Madaripur","23.1648826,90.1939932"
Madaripur,Barhamganj,Umedpur,7933,"7933 Umedpur,Madaripur","23.3226904,90.19633639999999"
Madaripur,kalkini,Kalkini,7920,"7920 Kalkini,Madaripur","23.075497,90.2268113"
Madaripur,kalkini,Sahabrampur,7921,"7921 Sahabrampur,Madaripur","26.9939552,78.8863847"
Madaripur,Madaripur Sadar,Charmugria,7901,"7901 Charmugria,Madaripur","23.1708654,90.17056869999999"
Madaripur,Madaripur Sadar,Habiganj,7903,"7903 Habiganj,Madaripur","24.3840055,91.4168974"
Madaripur,Madaripur Sadar,Kulpaddi,7902,"7902 Kulpaddi,Madaripur","23.1588899,90.2221213"
Madaripur,Madaripur Sadar,Madaripur Sadar,7900,"7900 Madaripur Sadar,Madaripur","23.2155345,90.1682271"
Madaripur,Madaripur Sadar,Mustafapur,7904,"7904 Mustafapur,Madaripur","23.1381419,90.13545859999999"
Madaripur,Rajoir,Khalia,7911,"7911 Khalia,Madaripur","23.2260262,90.0111409"
Madaripur,Rajoir,Rajoir,7910,"7910 Rajoir,Madaripur","23.2066833,90.04899019999999"
Manikganj,Doulatpur,Doulatpur,1860,"1860 Doulatpur,Manikganj","23.9668639,89.7743613"
