Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
"কালেশ্বর কমিউনিটি ক্লিনিক,পঞ্চগড়",26.2839087,88.5174681,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJiR1F9_-N5DkRlBJTCsRh9Rs,"7GM8+HX Magura, Bangladesh",7MRC7GM8+HX
কালেশ্বর কমিউনিটি ক্লিনিক,26.28386,88.517523,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",B652,ChIJq5lXOSuN5DkRnHGOwbtwLo0,"7GM9+G2 Magura, Bangladesh",7MRC7GM9+G2
Haque Health & Mothers Care Center,26.2812589,88.5882086,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Z5021,ChIJseWOIfuO5DkRJ9Wcv-hDhgg,"7HJQ+G7 Banagram, Bangladesh",7MRC7HJQ+G7
Safirhat Community Clinic,26.2572402,89.1094636,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Baura,ChIJXxRgpz4N4zkRUg28AWEAVOM,"7445+VQ Baura, Bangladesh",7MRF7445+VQ
"Family and Health Welfare Center, Bhawlagonj",26.2535376,88.7465119,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Debiganj Upazila,ChIJa2Rdjh6D5DkRBd1i3Vj209w,"7P3W+CJ Bhawlagonj, Bangladesh",7MRC7P3W+CJ
Desh Clinic,26.252153,88.74454,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Debiganj Upazila,ChIJs40mLRmD5DkRxs12pq7PrAQ,"7P2V+VR Bhawlagonj, Bangladesh",7MRC7P2V+VR
B4 General Hospital,26.2474396,88.6144839,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","বোদা উপজেলা, B4 General Hospital",ChIJux97SOmP5DkReSNWU5MagZA,"6JW7+XQ Haldibari, Bangladesh",7MRC6JW7+XQ
Chilahati Diagnostic,26.24532,88.7938116,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bhaulaganj, চিলাহাটি সড়ক, চিলাহাটি",ChIJXbAZOFx94zkRW8435lPAbmI,"6QWV+4G Chilahati, Bangladesh",7MRC6QWV+4G
Health assistant monowara begum house,26.2397748,88.7256409,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ51vFR-uD5DkRCLNOBCQuI_Y,"6PQG+W7 Tokravasha, Bangladesh",7MRC6PQG+W7
Update dental care,26.2393014,88.4094205,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Atwari",ChIJ_bq-lCXz5DkRjE3tgJbcvYE,"6CQ5+PQ Atwari, Bangladesh",7MRC6CQ5+PQ
উপজেলা স্বাস্হ্য কমপ্লেক্স,26.2369524,88.4091855,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Atwari Upazila,ChIJd7rkDA3z5DkRXiu3SUu6Y-A,"6CP5+QM Atwari, Bangladesh",7MRC6CP5+QM
প্রামানিক পারা কমিউনিটি ক্লিনিক,26.2330134,88.7790286,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",বালাপারা,ChIJi5Sg20qD5DkRqZXn_l441k4,"6QMH+6J Chilahati, Bangladesh",7MRC6QMH+6J
প্রামানিক পাড়া কমিউনিটি ক্লিনিক,26.2290723,88.77742,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chilahati,ChIJQT4uHmqD5DkRlLRNPohfdt0,"6QHG+JX Chilahati, Bangladesh",7MRC6QHG+JX
Save Eye Hospital,26.2060172,89.1077109,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Barakhata,ChIJtzntw7gS4zkRGBf1-nFTTqE,"6445+C3 Barakhata, Bangladesh",7MRF6445+C3
বি ফোর জেনারেল হাসপাতাল,26.2029772,88.5550491,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhaka - Rangpur Highway,ChIJoZSBmNKT5DkRa-TsJVfKVPo,"6H34+52 Boda, Bangladesh",7MRC6H34+52
B4 General Hospital,26.2028771,88.5548911,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhaka - Rangpur Highway,ChIJLVG7H9eT5DkRI0tTKO2MwGI,"6H33+5X Boda, Bangladesh",7MRC6H33+5X
Upazila Health Complex,26.2026303,88.5542179,3.8,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Boda,ChIJpX88VR6S5DkR-TUq4qAlOT4,"6H33+3M Boda, Bangladesh",7MRC6H33+3M
Jamuna Diagnostic Centre Ambari,26.1985361,88.8475195,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","GrameenPhone Tower, Gomnati - Chilahati Road",ChIJZSB1lFJj4zkRejf67ue6Sco,"5RXX+C2 Gomnati, Bangladesh",7MRC5RXX+C2
Child Health & Mother Care Hospital,26.1965118,88.5549639,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Boda,ChIJM4Bm9iCS5DkRp9nvv8q98d4,"5HW3+JX Boda, Bangladesh",7MRC5HW3+JX
বালাপাড়া উপ-স্বাস্থ‍্য কেন্দ্র,26.1860954,88.912388,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Balapara,ChIJWz8CNGVl4zkRkw4s_6GlaJk,"5WP6+CX Balapara, Bangladesh",7MRC5WP6+CX
