Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Universal Medical College Hospital Ltd.,25.0981693,90.3956724,3.8,231,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJ24vlXWjHVTcRYL52d3U1oGo,"MP5V+PX Dolka, Bangladesh",7MMGQ9GW+F7
Asgar Ali Ali Hospital,24.7543163,90.3957241,0,0,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJFXPnb165VTcRK1iYdpXbgoI,"MPHC+P6 Nischintapur, Bangladesh",7MMGP9QW+77
Prime General Hospital,25.0365813,90.3957789,3.2,12,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJeT1EC_PEVTcRFAsDa_FPSzo,"MPV8+WF Niz Koronshi, Bangladesh",7MMGW97W+68
Popular Gastroliver General Hospital,24.7879277,90.3957891,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJNx9Ay5q5VTcR_jnfcmzchfU,"MPV8+XC Niz Koronshi, Bangladesh",7MMGP92W+C8
Nur Doctor's Corner and Diagnostic Center,24.266353,90.3960017,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJAYRpy7fZVTcRzgiQHauPlKI,"MPXX+XW Goalanda, Bangladesh",7MPG39QW+WC
Fortune hospital,22.9676972,90.396089,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJhzAZ-CDEVTcRnBc5FMM35AY,"MQ2F+86 Chirirbandar, Bangladesh",7MMGV96W+3C
Fortune hospital,24.8629726,90.396089,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","House no 03,road no 13,sector 01,uttara, Jasimuddin avenue, Dhaka",ChIJhzAZ-CDEVTcRnBc5FMM35AY,"MQ2X+89 Bagerhat, Bangladesh",7MMGV96W+3C
Dhaka Eye Care Hospital,24.3817238,90.3961092,4.2,202,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJ1_-1AiPEVTcRhDLFHXyoxns,"MQ2X+99 Bagerhat, Bangladesh",7MMGV99W+3C
Surovi Meternity Hospital,22.8119453,90.3962517,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJMdxK_-bGVTcRpifYvWYFsr8,"MQ48+5F Bagerhat, Bangladesh",7MMGR99W+JG
BIRDEM General Hospital,24.6468185,90.3964821,4.3,671,"['hospital', 'health', 'point_of_interest', 'establishment']",not found,ChIJSbjZLOu4VTcRJNPSTZI8IXw,"MQ48+5F Bagerhat, Bangladesh",7MMGP9QW+GH
