District,Thana,SubOffice,Post Code,location,coordinate
Naogaon,Sapahar,Sapahar,6560,"6560 Sapahar,Naogaon","25.1258991,88.587932"
Natore,Gopalpur UPO,Abdulpur,6422,"6422 Abdulpur,Natore","24.2601019,88.9724545"
Natore,Gopalpur UPO,Gopalpur U.P.O,6420,"6420 Gopalpur U.P.O,Natore","24.2031008,89.0012007"
Natore,Gopalpur UPO,Lalpur S.O,6421,"6421 Lalpur S.O,Natore","24.1834882,88.9569466"
Natore,Harua,Baraigram,6432,"6432 Baraigram,Natore","24.3169944,89.16345629999999"
Natore,Harua,Dayarampur,6431,"6431 Dayarampur,Natore","24.2729432,89.0023961"
Natore,Harua,Harua,6430,"6430 Harua,Natore","24.2808155,89.0728633"
Natore,Hatgurudaspur,Hatgurudaspur,6440,"6440 Hatgurudaspur,Natore","24.4079394,88.9748932"
Natore,Laxman,Laxman,6410,"6410 Laxman,Natore","24.4079394,88.9748932"
Natore,Natore Sadar,Baiddyabal Gharia,6402,"6402 Baiddyabal Gharia,Natore","24.4079394,88.9748932"
Natore,Natore Sadar,Digapatia,6401,"6401 Digapatia,Natore","24.4398361,89.01285299999999"
Natore,Natore Sadar,Madhnagar,6403,"6403 Madhnagar,Natore","24.5326468,88.9701082"
Natore,Natore Sadar,Natore Sadar,6400,"6400 Natore Sadar,Natore","24.4021576,88.99880979999999"
Natore,Singra,Singra,6450,"6450 Singra,Natore","24.4999846,89.1429216"
Pabna,Banwarinagar,Banwarinagar,6650,"6650 Banwarinagar,Pabna","24.160144,89.445441"
Pabna,Bera,Bera,6680,"6680 Bera,Pabna","24.0769424,89.61545199999999"
Pabna,Bera,Kashinathpur,6682,"6682 Kashinathpur,Pabna","23.9620721,89.6086828"
Pabna,Bera,Nakalia,6681,"6681 Nakalia,Pabna","24.0432302,89.64748949999999"
Pabna,Bera,Puran Bharenga,6683,"6683 Puran Bharenga,Pabna","23.9414032,89.6722171"
Pabna,Bhangura,Bhangura,6640,"6640 Bhangura,Pabna","24.2080142,89.365369"
Pabna,Chatmohar,Chatmohar,6630,"6630 Chatmohar,Pabna","24.2270044,89.2906603"
Pabna,Atghoria,Atghoria,6610,"6610 Atghoria,Pabna","24.1172795,89.33504239999999"
Pabna,Ishwardi,Dhapari,6621,"6621 Dhapari,Pabna","24.1385379,89.0137507"
Pabna,Ishwardi,Ishwardi,6620,"6620 Ishwardi,Pabna","24.1292024,89.0657027"
Pabna,Ishwardi,Pakshi,6622,"6622 Pakshi,Pabna","24.0815233,89.0466016"
Pabna,Ishwardi,Rajapur,6623,"6623 Rajapur,Pabna","24.1690284,89.14142249999999"
Pabna,Pabna Sadar,Hamayetpur,6602,"6602 Hamayetpur,Pabna","24.0128563,89.2590572"
Pabna,Pabna Sadar,Kaliko Cotton Mills,6601,"6601 Kaliko Cotton Mills,Pabna","24.0128563,89.2590572"
Pabna,Pabna Sadar,Pabna Sadar,6600,"6600 Pabna Sadar,Pabna","24.0076123,89.2383285"
Pabna,Sathia,Sathia,6670,"6670 Sathia,Pabna","24.0555192,89.54921259999999"
Pabna,Sujanagar,Sagarkandi,6661,"6661 Sagarkandi,Pabna","23.8460993,89.6157473"
Pabna,Sujanagar,Sujanagar,6660,"6660 Sujanagar,Pabna","23.9421529,89.4210136"
Rajshahi,Bagha,Arani,6281,"6281 Arani,Rajshahi","24.2880348,88.8589784"
Rajshahi,Bagha,Bagha,6280,"6280 Bagha,Rajshahi","24.1974854,88.83710339999999"
Rajshahi,Bagmara,Bhabaniganj,6250,"6250 Bhabaniganj,Rajshahi","24.5823504,88.8213643"
Rajshahi,Bagmara,Taharpur,6251,"6251 Taharpur,Rajshahi","24.5183727,88.8469408"
Rajshahi,Charghat,Charghat,6270,"6270 Charghat,Rajshahi","24.2785308,88.75180499999999"
Rajshahi,Charghat,Sarda,6271,"6271 Sarda,Rajshahi","24.3021414,88.73255890000002"
Rajshahi,Durgapur,Durgapur,6240,"6240 Durgapur,Rajshahi","24.4450427,88.7710424"
Rajshahi,Godagari,Godagari,6290,"6290 Godagari,Rajshahi","24.4775854,88.3173857"
Rajshahi,Godagari,Premtoli,6291,"6291 Premtoli,Rajshahi","24.1685063,89.2174479"
Rajshahi,Khod Mohanpur,Khodmohanpur,6220,"6220 Khodmohanpur,Rajshahi","24.3745146,88.60416599999999"
Rajshahi,Lalitganj,Lalitganj,6210,"6210 Lalitganj,Rajshahi","24.3745146,88.60416599999999"
Rajshahi,Lalitganj,Rajshahi Sugar Mills,6211,"6211 Rajshahi Sugar Mills,Rajshahi","24.378219,88.68181489999999"
Rajshahi,Lalitganj,Shyampur,6212,"6212 Shyampur,Rajshahi","24.738419,88.1388989"
Rajshahi,Putia,Putia,6260,"6260 Putia,Rajshahi","24.3638464,88.8366628"
Rajshahi,Rajshahi Sadar,Binodpur Bazar,6206,"6206 Binodpur Bazar,Rajshahi","24.3676682,88.6447093"
Rajshahi,Rajshahi Sadar,Ghuramara,6100,"6100 Ghuramara,Rajshahi","24.3662571,88.6048955"
Rajshahi,Rajshahi Sadar,Kazla,6204,"6204 Kazla,Rajshahi","24.3621793,88.632578"
Rajshahi,Rajshahi Sadar,Rajshahi Canttonment,6202,"6202 Rajshahi Canttonment,Rajshahi","24.3833853,88.5983801"
Rajshahi,Rajshahi Sadar,Rajshahi Court,6201,"6201 Rajshahi Court,Rajshahi","24.3726687,88.5619674"
Rajshahi,Rajshahi Sadar,Rajshahi Sadar,6000,"6000 Rajshahi Sadar,Rajshahi","24.3745146,88.60416599999999"
Rajshahi,Rajshahi Sadar,Rajshahi University,6205,"6205 Rajshahi University,Rajshahi","24.3682583,88.6376279"
Rajshahi,Rajshahi Sadar,Sapura,6203,"6203 Sapura,Rajshahi","24.385658,88.60121"
Rajshahi,Tanor,Tanor,6230,"6230 Tanor,Rajshahi","24.5873417,88.5746498"
Sirajganj,Baiddya Jam Toil,Baiddya Jam Toil,6730,"6730 Baiddya Jam Toil,Sirajganj","24.3605167,89.66516279999999"
Sirajganj,Belkuchi,Belkuchi,6740,"6740 Belkuchi,Sirajganj","24.2952157,89.6980719"
Sirajganj,Belkuchi,Enayetpur,6751,"6751 Enayetpur,Sirajganj","24.2418977,89.7001817"
Sirajganj,Belkuchi,Rajapur,6742,"6742 Rajapur,Sirajganj","24.2463621,89.61309829999999"
Sirajganj,Belkuchi,Sohagpur,6741,"6741 Sohagpur,Sirajganj","24.2893256,89.72625769999999"
Sirajganj,Belkuchi,Sthal,6752,"6752 Sthal,Sirajganj","24.203176,89.7473837"
Sirajganj,Dhangora,Dhangora,6720,"6720 Dhangora,Sirajganj","24.5279352,89.53838909999999"
Sirajganj,Dhangora,Malonga,6721,"6721 Malonga,Sirajganj","24.4526459,89.68162079999999"
Sirajganj,Kazipur,Gandail,6712,"6712 Gandail,Sirajganj","24.6247754,89.62987240000001"
Sirajganj,Kazipur,Kazipur,6710,"6710 Kazipur,Sirajganj","24.6544767,89.6345796"
Sirajganj,Kazipur,Shuvgachha,6711,"6711 Shuvgachha,Sirajganj","24.4526459,89.68162079999999"
Sirajganj,Shahjadpur,Jamirta,6772,"6772 Jamirta,Sirajganj","24.1391191,89.6651821"
Sirajganj,Shahjadpur,Kaijuri,6773,"6773 Kaijuri,Sirajganj","24.1495601,89.6863219"
Sirajganj,Shahjadpur,Porjana,6771,"6771 Porjana,Sirajganj","24.1536208,89.6469257"
Sirajganj,Shahjadpur,Shahjadpur,6770,"6770 Shahjadpur,Sirajganj","24.1764034,89.5943564"
Sirajganj,Sirajganj Sadar,Raipur,6701,"6701 Raipur,Sirajganj","24.4374067,89.6999091"
Sirajganj,Sirajganj Sadar,Rashidabad,6702,"6702 Rashidabad,Sirajganj","24.4526459,89.68162079999999"
Sirajganj,Sirajganj Sadar,Sirajganj Sadar,6700,"6700 Sirajganj Sadar,Sirajganj","24.4524175,89.7045249"
Sirajganj,Tarash,Tarash,6780,"6780 Tarash,Sirajganj","24.4308914,89.3724769"
Sirajganj,Ullapara,Lahiri Mohanpur,6762,"6762 Lahiri Mohanpur,Sirajganj","24.2634905,89.4990219"
Sirajganj,Ullapara,Salap,6763,"6763 Salap,Sirajganj","24.293548,89.6169246"
Sirajganj,Ullapara,Ullapara,6760,"6760 Ullapara,Sirajganj","24.3186567,89.5615542"
Sirajganj,Ullapara,Ullapara R.S,6761,"6761 Ullapara R.S,Sirajganj","24.2900266,89.574422"
Sirajganj,Kamarkhanda,Rasulpur,6730,"6730 Rasulpur,Sirajganj","24.332234,89.6404628"
