Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Barind Medical College & Hospital,24.3822894,88.6244443,4.2,63,"['hospital', 'health', 'point_of_interest', 'establishment']","Padma Residential Area,, Rajshahi",ChIJpT2w4zHu-zkRIRq2NLxOIN4,"9JJF+WQ Rajshahi, Bangladesh",7MPC9JJF+WQ
Zamzam Islami Hospital,24.3705677,88.5814376,4,24,"['hospital', 'health', 'point_of_interest', 'establishment']","Lokhipur, Greater Road, Rajshahi",ChIJe88qFBzv-zkRa6nLkB330rE,"9HCJ+6H Rajshahi, Bangladesh",7MPC9HCJ+6H
"CDM HOSPITAL, Chowdhury Tower, LAXMIPUR, RAJSHAHI",24.3723836,88.5810685,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Chowdhury Tower LAXMIPUR, Rajshahi",ChIJE7p1zR3v-zkRArOhp7jahR4,"9HCJ+XC Rajshahi, Bangladesh",7MPC9HCJ+XC
Udayan Dental Collge Outdoor.,24.3728733,88.5789785,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJAd9MRR7v-zkRRg7v6jKHkss,"9HFH+4H Rajshahi, Bangladesh",7MPC9HFH+4H
RUET Medical Centre,24.3635683,88.6283774,2.5,8,"['hospital', 'health', 'point_of_interest', 'establishment']","Kazla,Rajshahi, Rajshahi",ChIJeyHvd9Hv-zkRSUaEOcq-5Kg,"9J7H+C9 Rajshahi, Bangladesh",7MPC9J7H+C9
Police Line Hospital,24.3685398,88.5675448,4.2,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Natore Police Lines Field, রাজশাহী",ChIJv99o3iXv-zkRKN45stUfO_0,"9H99+C2 Rajshahi, Bangladesh",7MPC9H99+C2
Shah Mokhdum Medical College And Hospital,24.3952448,88.6472413,4.4,52,"['university', 'hospital', 'health', 'point_of_interest', 'establishment']","Paba Upazila, Kharkhari (Lalitaher), Boalia,",ChIJGT8XwcPx-zkR3gM8_VIiqIM,"9JWW+3V Rajshahi, Bangladesh",7MPC9JWW+3V
"Upazila Health Complex, Darusha, Paba, Rajshahi",24.443884,88.5547879,3.7,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Paba Upazila,ChIJg1iXGvXr-zkRQsIWdnPBBI8,"CHV3+HW Sayeer Pukur, Bangladesh",7MPCCHV3+HW
Rajshahi Medical College Hospital,24.372019,88.5864259,4.5,300,"['hospital', 'university', 'health', 'point_of_interest', 'establishment']","Medical College Road, Rajshahi",ChIJR5mJ1ALv-zkRqJYHXGcxUGw,"9HCP+RH Rajshahi, Bangladesh",7MPC9HCP+RH
Central Hospital,24.37733,88.6012833,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Ward-15, Rajshahi",ChIJw7Odmkjv-zkR-68FrrZU58o,"9JG2+WG Rajshahi, Bangladesh",7MPC9JG2+WG
ডিজিটাল মেডিকেল সার্ভিস,24.3722335,88.6078801,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","ক্ষনিকের নীড়, বড় রাস্তা, Rajshahi",ChIJSSUd4Ifv-zkRL0-my5FgmfE,"9JC5+V5 Rajshahi, Bangladesh",7MPC9JC5+V5
Animal Hospital,24.3759877,88.5993996,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Dorikhorbona, Rajshahi",ChIJq6qqulTu-zkRd6cRoJSpUws,"9HGX+9Q Rajshahi, Bangladesh",7MPC9HGX+9Q
City Health Center,24.3800003,88.6035555,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJIxg_PlLu-zkR8-h-R4If_cY,"9JJ3+2C Rajshahi, Bangladesh",7MPC9JJ3+2C
Sadia Memorial Hospital,24.3651432,88.6738639,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJ____O_jw-zkRjgtC3_br2No,"9M8F+3G Yusufpur, Bangladesh",7MPC9M8F+3G
Borendro Hospital,24.3655508,88.6726967,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi-Dhaka Highway,ChIJG6ivDPjw-zkR-r-ygW3KsFo,"9M8F+63 Yusufpur, Bangladesh",7MPC9M8F+63
কয়লারদিয়াড় কমিউনিটি ক্লিনিক,24.7598257,88.1348521,2.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Shyampur,ChIJzXlQzwVT-jkRgrOPOUnKb8M,"Q45M+WW Shyampur, Bangladesh",7MPCQ45M+WW
Binodpur hospital,24.7424591,88.1059495,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Binodpur,ChIJVVVVlTZS-jkRT-7FRbcZs7k,"P4R4+X9 Binodpur, Bangladesh",7MPCP4R4+X9
