Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
"SONO HOSPITAL, BHERAMARA",24.0211048,88.9900659,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJ51CcghSl_jkRg_RwUaj5OTc,"2XCR+C2 Bheramara, Bangladesh",7MPC2XCR+C2
Janasheba Diagnostic Center,24.0214507,88.990089,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara,ChIJz06R9kek_jkRdOJppdOdhac,"2XCR+H2 Bheramara, Bangladesh",7MPC2XCR+H2
The Popular Diagnostic Center & Doctor's Point,24.0214758,88.9887512,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJvwMbA0ik_jkRWqROMa2Uujs,"2XCQ+HG Bheramara, Bangladesh",7MPC2XCQ+HG
আল-জামী প্রাইভেট হাসপাতাল,24.021201,88.9886911,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bheramara Upazila, Godown mor",ChIJ7wbeAryl_jkR3W9QratxD5s,"2XCQ+FF Bheramara, Bangladesh",7MPC2XCQ+FF
Al-Jami Private Hospital,24.0212,88.988691,4.9,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJIbrFBEik_jkRwzL28A0XIE0,"2XCQ+FF Bheramara, Bangladesh",7MPC2XCQ+FF
Bheramara Diabetics Hospital,24.0231237,88.9885443,4.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJ81U67Tek_jkRVRaRV8yxkcg,"2XFQ+6C Bheramara, Bangladesh",7MPC2XFQ+6C
Mahmuda Clinic,24.0215785,88.9878369,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Z7411, Bheramara",ChIJ2RvOQjGl_jkR_a02E90_u-0,"2XCQ+J4 Bheramara, Bangladesh",7MPC2XCQ+J4
Sadia Clinic,24.0219512,88.9856915,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara - Daulotpur Road,ChIJY_NQr9ql_jkR3nadY8iftzI,"2XCP+Q7 Bheramara, Bangladesh",7MPC2XCP+Q7
Sayeed Clinic,24.0205583,88.9851389,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJZWNrMsml_jkR_-4yIj2-ts0,"2XCP+63 Bheramara, Bangladesh",7MPC2XCP+63
Union Health Sub-center,24.0193746,88.9791259,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara - Daulotpur Road,ChIJM1uErtGl_jkRr9VXqTCl8RI,"2X9H+PM Bheramara, Bangladesh",7MPC2X9H+PM
"Union Health Sub-center, Satbaria",24.0193764,88.9790305,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJAxrVs0ul_jkRu3h9pPJJwtU,"2X9H+QJ Bheramara, Bangladesh",7MPC2X9H+QJ
Katherpul Govt. Hospital,24.0194606,88.9788438,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJt-3ZT9il_jkRxqjOXc4BCv4,"2X9H+QG Bheramara, Bangladesh",7MPC2X9H+QG
Hirimdia Community Clinic,24.0070193,88.9840936,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Hirimdia Community Clinic,ChIJiZlEUbel_jkR4GZkTNQRXxY,"2X4M+RJ Chandgram, Bangladesh",7MPC2X4M+RJ
"Upazilla Health Complex, Khoksa",23.8101079,89.288135,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Khoksa Dakbanglo Road, Khoksha",ChIJs7NYklWM_jkR6Izra2ewKvk,"R76Q+27 Khoksha, Bangladesh",7MMFR76Q+27
