District,Thana,SubOffice,Post Code,location,coordinate
Rangpur,Taraganj,Taraganj,5420,"5420 Taraganj,Rangpur","25.7780177,89.0370477"
Rangpur,Badarganj,Shyampur,5431,"5431 Shyampur,Rangpur","25.2629626,89.24820439999999"
Rangpur,Gangachara,Gangachara,5410,"5410 Gangachara,Rangpur","25.8560233,89.22294710000001"
Rangpur,Kaunia,Haragachh,5441,"5441 Haragachh,Rangpur","25.8151583,89.3321823"
Rangpur,Kaunia,Kaunia,5440,"5440 Kaunia,Rangpur","25.7741665,89.4316601"
Rangpur,Pirgachha,Pirgachha,5450,"5450 Pirgachha,Rangpur","25.657772,89.4055588"
Rangpur,Mithapukur,Mithapukur,5460,"5460 Mithapukur,Rangpur","25.5722678,89.2799763"
Rangpur,Pirgonj,Gujjipara,5470,"5470 Gujjipara,Rangpur","25.7438916,89.275227"
Rangpur,Rangpur Sadar,Alamnagar,5402,"5402 Alamnagar,Rangpur","25.7332985,89.25183109999999"
Rangpur,Rangpur Sadar,Mahiganj,5403,"5403 Mahiganj,Rangpur","25.7284374,89.29125379999999"
Rangpur,Rangpur Sadar,Rangpur Cadet Colleg,5404,"5404 Rangpur Cadet Colleg,Rangpur","25.7128673,89.25955970000001"
Rangpur,Rangpur Sadar,Rangpur Carmiecal Col,5405,"5405 Rangpur Carmiecal Col,Rangpur","25.7438916,89.275227"
Rangpur,Rangpur Sadar,Rangpur Sadar,5400,"5400 Rangpur Sadar,Rangpur","25.7438916,89.275227"
Rangpur,Rangpur Sadar,Rangpur Upa-Shahar,5401,"5401 Rangpur Upa-Shahar,Rangpur","25.7438916,89.275227"
Rangpur,Badarganj,Badarganj,5430,"5430 Badarganj,Rangpur","25.6539681,89.07047659999999"
Thakurgaon,Baliadangi,Baliadangi,5140,"5140 Baliadangi,Thakurgaon","26.0902338,88.2753144"
Thakurgaon,Baliadangi,Lahiri,5141,"5141 Lahiri,Thakurgaon","26.1452731,88.2948711"
Thakurgaon,Jibanpur,Jibanpur,5130,"5130 Jibanpur,Thakurgaon","25.8151678,88.13767899999999"
Thakurgaon,Pirganj,Pirganj,5110,"5110 Pirganj,Thakurgaon","25.8606826,88.35793009999999"
Rangpur,Pirganj,Pirganj,5470,"5470 Pirganj,Rangpur","25.4362185,89.3132061"
Thakurgaon,Rani Sankail,Nekmarad,5121,"5121 Nekmarad,Thakurgaon","25.9808308,88.26801720000002"
Thakurgaon,Rani Sankail,Rani Sankail,5120,"5120 Rani Sankail,Thakurgaon","25.8920465,88.2582857"
Thakurgaon,Thakurgaon Sadar,Ruhia,5103,"5103 Ruhia,Thakurgaon","26.1715057,88.4088788"
Thakurgaon,Thakurgaon Sadar,Shibganj,5102,"5102 Shibganj,Thakurgaon","26.0067834,88.38556679999999"
Thakurgaon,Thakurgaon Sadar,Thakurgaon Road,5101,"5101 Thakurgaon Road,Thakurgaon","26.0432679,88.4150916"
Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,5100,"5100 Thakurgaon Sadar,Thakurgaon","26.0287744,88.47855310000001"
