,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
0,Thanchi Upazila Health Complex,21.8238459,92.4386306,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Thanchi,ChIJCUsDrj2ArTAR1PeZ81A0sGQ,not found,not found
1,"Ruma Upazila Health Complex,Bandarban",22.0475375,92.408214,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Ruma Upazila,ChIJ8UKPLdVjrTARw3vpOR8LclA,"2CX5+27 Ruma, Bangladesh",7MJJ2CX5+27
2,"Rangamati, Barkal Health Complex",22.7236312,92.3848566,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Chotoharina - Baroharina Trail,ChIJhe1ltzWpUjcRKyiX0OcVz0I,"P9FM+FW Barkal, Bangladesh",7MJJP9FM+FW
3,Jurachari Upazilla Health Complex,22.6691937,92.3820563,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Juraichhari,ChIJTX6pEoqrUjcR88-VAP64NCc,not found,not found
4,Barkal Upazila Health Complex,22.724425399999998,92.3805678,2.1,9,"['hospital', 'health', 'point_of_interest', 'establishment']","Chotoharina - Baroharina Trail, Barkal",ChIJgcF7J8uuUjcRTdBtw73d9JY,"P9FJ+Q6 Barkal, Bangladesh",7MJJP9FJ+Q6
5,Zakiganj Upazila Government Health Complex,24.8836949,92.3644906,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Zakiganj",ChIJ46dZ-avTUTcRSFeSyz_ERUA,"V9M7+FQ Zakiganj, Bangladesh",7MPJV9M7+FQ
6,Rowangchhari Upazila Health Complex,22.178598899999997,92.3374944,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Rowangchhari,ChIJnYPKjKtnrTARCHrWJP3E97k,not found,not found
7,Belaichari Upazilla Health Complex,22.5001468,92.3359311,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bilaichari,ChIJq3T2wC1RrTARXcGp4_knKd0,"G82P+39 Bilaichari, Bangladesh",7MJJG82P+39
8,Alikadam Health Complex,21.6522891,92.3119619,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Lama - Alikadam Road, Alikadam",ChIJQRLkhVeFrTARlWwm9OE_aRE,"M826+WQ Alikadam, Bangladesh",7MHJM826+WQ
10,"Upazila Health(Hospital) Complex,Teknaf.",20.8755415,92.2974944,4.9,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox's Bazar - Teknaf Highway,ChIJyd70Vg8QrjARcYTVcElPcSE,"V7GW+6X Teknaf, Bangladesh",7MGJV7GW+6X
11,"Upazila Health Complex, Kanaighat",25.0120844,92.2557797,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat,ChIJkYHbgA4xUDcRZBP03N0HcAY,"2764+R8 Kanaighat, Bangladesh",7MQJ2764+R8
12,"Upazila Health Complex, Rajshali, Rangamati",22.3645041,92.2509189,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Chinkyong,ChIJfQSBtyFFrTARpnMvKM_8Xr8,"9772+R9 Chinkyong, Bangladesh",7MJJ9772+R9
13,"Rajasthali Upazila Health Complex, Chinkhyong",22.3644043,92.25063730000001,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Chinkyong",ChIJ_xBIM5pFrTARKabiZngw9hI,"9772+Q7 Chinkyong, Bangladesh",7MJJ9772+Q7
15,Ugalchhari Health Complex,23.1389898,92.22127409999999,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Baghaichhari Upazila,ChIJGSrhXyiSUjcRNs6VmD8ZXP0,"46QC+HG Baghaichhari, Bangladesh",7MMJ46QC+HG
16,"Islami shikka kendro health complex,Bandarban",22.1904413,92.22099109999999,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Banorupa Para Road, Bandarban",ChIJ1f65VSZqrTARLOvu0i0JH7A,"56RC+59 Bandarban, Bangladesh",7MJJ56RC+59
17,Upazila Health Complex Lama,21.7738592,92.1950384,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","লামা উপজেলা, Lama Bus Station",ChIJMUktCryfrTAR3CCsNmAib8M,"Q5FW+G2 Lama, Bangladesh",7MHJQ5FW+G2
18,Baghaichhari Upazila Health Complex,23.163586600000002,92.18784570000001,4.5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Dighinala - Baghaichhari Road,ChIJ1bvePmOSUjcRrPJTVu9QDnQ,"557Q+C4 Baghaichhari, Bangladesh",7MMJ557Q+C4
19,No. 5 baracatula Union Health Complex,25.0525182,92.18762609999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJtezAFgs3UDcRqqJGQqval7w,"353Q+23 Madani Nagor, Bangladesh",7MQJ353Q+23
20,Union health complex.,25.0523667,92.18760970000001,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Komotiol Chatul road,, কানাইঘাট",ChIJSRg8EQs3UDcR_hs-M4Bk234,"352Q+W2 Madani Nagor, Bangladesh",7MQJ352Q+W2
21,5No Borchotul Health Complex,25.052557800000002,92.18759320000001,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJ150VQec3UDcRQsdwW2tE4dc,"353Q+22 Madani Nagor, Bangladesh",7MQJ353Q+22
23,Barlekha Upazila Health Complex,24.6937111,92.1849536,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJA0ocRivGUTcRd3UUOprysLo,"M5VM+FX Barlekha, Bangladesh",7MPJM5VM+FX
24,"Upazilla Health Complex, Naikhanchari",21.4283973,92.17415559999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Naikhongchari,ChIJi3oagu_qrTARrJ7yJC9FuvQ,"C5HF+9M Naikhongchari, Bangladesh",7MHJC5HF+9M
27,Upazila Health Complex,24.828557800000002,92.16258470000001,3.8,17,"['hospital', 'health', 'point_of_interest', 'establishment']","R281, Beanibazar",ChIJ1xW0ZGjKUTcR_m01gi0Mc6c,"R5H7+C2 Beanibazar, Bangladesh",7MPJR5H7+C2
29,Churkahi Up0 Health Complex,24.902499,92.1488207,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Churkahi,ChIJsVLFlVk1UDcRn3gceCWieC0,"W42X+XG Churkahi, Bangladesh",7MPJW42X+XG
30,"Upazila Health Complex, Kaptai",22.499720999999997,92.1377387,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","চট্টগ্রাম - কাপ্তাই রোড, Baraichari",ChIJT1hSJgU2rTAREdMDB-rnCCA,"F4XQ+V3 Baraichari, Bangladesh",7MJJF4XQ+V3
31,"Upazila Health Complex, Maheshkhali, Cox's Bazar",21.249958399999997,92.1323704,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ukhiya Upazila,ChIJs0oKN1_drTARTxATxDLBFmQ,"64XJ+XW Ukhia, Bangladesh",7MHJ64XJ+XW
32,"Upazila Health Complex, Juri",24.6074066,92.1269468,4.5,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Juri, সিলেট",ChIJsU42p7W4UTcRGDa-eznDC2M,"J44G+XQ Juri, Bangladesh",7MPJJ44G+XQ
33,"Upazila Health Complex, Jaintapur, Sylhet",25.1361531,92.12655090000001,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Jaintiapur Upazila,ChIJlbVQ6HJHUDcRq0a97vsROYw,"44PG+FJ Jaintapur, Bangladesh",7MQJ44PG+FJ
34,Arab- Amirat Health Complex,22.0300331,92.1239018,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Lohagara,ChIJH9DM7WANrTARIu0mTt5rDI0,"24JF+2H Lohagara, Bangladesh",7MJJ24JF+2H
35,Lohagara Upazila Health Complex(New Building),22.043948699999998,92.1110809,2.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Bara Aulia Sadak, Lohagara",ChIJHRBO2oUSrTARgOw3fDmjels,"24V6+HC Lohagara, Bangladesh",7MJJ24V6+HC
37,Union Health Complex,24.830023800000003,92.0755708,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Budbary Bazar,ChIJOQkoqhS1UTcRcJ7XJdcpnvg,"R3JG+26 Budbary Bazar, Bangladesh",7MPJR3JG+26
38,"Upazila Health Complex, Dighinala",23.2506365,92.0665963,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dighinala,ChIJ-1KkHeDzUjcRPCFCZA5R6L8,"7328+7J Dighinala, Bangladesh",7MMJ7328+7J
40,Syed Aminur Rahman Upazila Health Complex.,24.8408236,92.0516056,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Syed Aminur Rahman Road, Kodumrosul",ChIJbzKRdp6zUTcRl5x4uCKpXwY,"R3R2+8J Kodumrosul, Bangladesh",7MPJR3R2+8J
42,Rangunia Upazilla Health Complex,22.463573999999998,92.047586,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Kaptai Road, Chittagong",ChIJwbNI998wrTAR-v9sEe2O5dQ,"F27X+C2 Rangunia, Bangladesh",7MJJF27X+C2
43,Union Health Complex,24.9922549,92.04428850000001,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Horipur, Jaintapur, Sylhet - Tamabil Highway",ChIJpSEvIZlOUDcRqN3E8FmUtHs,"X2RV+WP Horipur, Bangladesh",7MPJX2RV+WP
44,"Upazila Health Complex, Kulaura",24.528006899999998,92.0388054,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kulaura,ChIJU2DVzZC9UTcRpSMMuJ0C0Tk,"G2HQ+6G Kulaura, Bangladesh",7MPJG2HQ+6G
45,Upazila Health Complex,22.63177,92.03650209999999,3.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Kawkhali,ChIJIw-A7-fMUjcRiUiiISU0NhU,"J2JP+PJ Kawkhali, Bangladesh",7MJJJ2JP+PJ
46,Mohalchari Health Complex,22.9360897,92.0339698,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Mahalchhari",ChIJM44GOKzDUjcRPaj9j3q6eME,"W2PM+CH Mahalchhari, Bangladesh",7MJJW2PM+CH
47,Mahalchhari Upazila Health Complex,22.937729,92.0310691,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Mahalchhari,ChIJU0bLdKvDUjcRIeUHfp72Y9w,not found,not found
49,Golapganj Upazila Health Complex,24.8321998,92.0289458,4.2,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Golapganj, R251, Ronokali",ChIJQUUZbq2zUTcRmQlN7fODc80,"R2JH+VH Ronokali, Bangladesh",7MPJR2JH+VH
50,Satbaria Union Health Complex,22.176762699999998,92.017673,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Satbaria,ChIJWd7S3wcXrTARwyoDOgnSLyA,"52G9+P3 Satbaria, Bangladesh",7MJJ52G9+P3
51,"Upazila Health Complex, Chandanaish, Chattogram",22.2114681,92.0101031,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandanaish Upazila,ChIJj2YJ7PoXrTARA85-9LyN2Dk,"6266+H2 Harala, Bangladesh",7MJJ6266+H2
52,Union health Complex,22.204193,92.00710649999999,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Chandanaish,ChIJ-RGhkOoXrTARkEU8aFmTCDQ,"6234+MR Harala, Bangladesh",7MJJ6234+MR
54,Fatehpur Health Complex,24.9986023,91.9892325,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJo2AFg9JPUDcR28GNDuCV27k,"XXXQ+CM Gushainpur, Bangladesh",7MPHXXXQ+CM
55,"Upazila health complex, Ramu, Cox's Bazar",23.1793157,91.9881527,2.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Khagrachhari Sadar Upazila,ChIJq6qqqqr6UjcRMCZ90cWLIpk,"5XHQ+P7 Khagrachhari, Bangladesh",7MMH5XHQ+P7
56,Betagi Union Health Complex,22.4226451,91.9865218,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Rangunia Upazila, Betagi, Rangunia, Chittagong",ChIJCTbqdv4vrTARvZD6sLqzaDQ,"CXFP+3J Chompatali, Bangladesh",7MJHCXFP+3J
57,Dowbarhi Union Health Complex,25.0439325,91.9858975,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJFbPkYChQUDcRjMfMLNCb_rg,"2XVP+H9 Dowbarhi, Bangladesh",7MQH2XVP+H9
58,Gowainghat Upazila Health Complex,25.0895214,91.9798191,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Gowainghat,ChIJXXOrDq9aUDcRZokCfoRfNwU,not found,not found
60,Upazila Health Complex,22.2991585,91.9712308,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Patiya,ChIJ79j-RvgjrTAR8TsECvUTmXM,"7XXC+MF Patiya, Bangladesh",7MJH7XXC+MF
61,Patia Upazila Health Complex,22.2994055,91.97058270000001,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Patiya,ChIJF2IJZ0AjrTARYur_CsrPJHo,"7XXC+Q6 Patiya, Bangladesh",7MJH7XXC+Q6
63,No. 6 Fatehpur Union Health Complex,25.002853299999998,91.9672209,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJo-Q7apNRUDcR_CjCqEfY4x8,"2X38+4V Gushainpur, Bangladesh",7MQH2X38+4V
64,Banskhali Upazila Hospital,22.001735699999998,91.95035959999998,4.6,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Banshkhali Upazila,ChIJQftrGx0FrTARU5zbBcxQvUI,"2X22+M4 Jaldi, Bangladesh",7MJH2X22+M4
65,Upazila Sadar Hospital,21.988429800000002,91.949021,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",জলদি,ChIJsZpKH9YFrTARvNwtarkU_OI,"XWQX+9J Silkop, Bangladesh",7MHHXWQX+9J
66,No. 2 West Jaflong Health Complex,25.1424429,91.9470675,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gowainghat Upazila,ChIJW-zVtqdbUDcRjsYlVGX6Epg,"4WRW+XR Dakshin Pratappur, Bangladesh",7MQH4WRW+XR
67,Bengura Union Health Complex,22.3521137,91.9433396,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Boalkhali Upazila, Bengura station , Boalkhali",ChIJr1RO9lskrTARR88K8-SNfrM,"9W2V+R8 Bengura, Bangladesh",7MJH9W2V+R8
68,Bailchari Health Complex - বৈলছড়ি স্বাস্থ্য কমপ্লেক্স,22.0491135,91.9415626,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Khan Bahadur Bazar,ChIJv3xcdiUbrTARuF8ScZnpbl0,"2WXR+JJ Banshakhali, Bangladesh",7MJH2WXR+JJ
69,Fenchuganj Upazila Health Complex,24.6977387,91.9375855,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Fenchuganj,ChIJlcYu6YilUTcRknPzUNQ_e1w,"MWXQ+32 Fenchuganj, Bangladesh",7MPHMWXQ+32
70,Raozan Upazila Health Complex,22.5172697,91.92986009999998,4.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Raozan,ChIJVdJL3CEsrTAR-nD5bzEo6qQ,"GW8H+WW Raozan, Bangladesh",7MJHGW8H+WW
71,Boalkhali Upazila Health Complex,22.374459100000003,91.91921440000002,3.7,38,"['hospital', 'health', 'point_of_interest', 'establishment']","Boalkhali Upazila, গোমদন্ডী, বেয়ালখালী",ChIJ3ZD7ctIlrTARdUVAx1imBAg,"9WF9+QM Boalkhali, Bangladesh",7MJH9WF9+QM
72,Shakpura Health Complex,22.3520331,91.9127047,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Chittagong - Cox's Bazar Highway, Boalkhali",ChIJxUoOLCEkrTARs3k9w3ZcG6g,"9W27+R3 Shakpura, Bangladesh",7MJH9W27+R3
73,"Upazilla Health Complex,Lakshmichhari,Khagrachori,Chittagong Division",22.8061811,91.9122189,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Upazila Health Complex, Lakshmichhari",ChIJq6qqMwLaUjcRGbyo0Xm9Tyw,"RW46+FV Lakshmichhari, Bangladesh",7MJHRW46+FV
74,Lakshmichhari Upazila Health Complex,22.8060346,91.9122137,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Lakshmichhari,ChIJT_X5MgLaUjcRuKbCGTed23U,not found,not found
76,Raozan Health Complex,22.5413068,91.9118907,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raozan,ChIJSfEDt3UsrTARyvcf29hXUew,"GWR6+GQ Raozan, Bangladesh",7MJHGWR6+GQ
77,Health Complex,24.789595600000002,91.9085608,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sylhet - Moulavibazar Highway,ChIJaf5vE7apUTcRUbu51nEsobg,"QWQ5+RC Khalmukh Bazar, Bangladesh",7MPHQWQ5+RC
78,South Surma Upazila Health Complex,24.829226600000002,91.90103559999999,4.4,10,"['hospital', 'health', 'point_of_interest', 'establishment']","N208, Khalmukh Bazar",ChIJM01LOo6rUTcRCeCbuFYN6gk,"RWH2+MC Khalmukh Bazar, Bangladesh",7MPHRWH2+MC
79,Upazila Health Complex,23.2964904,91.9002744,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchhari,ChIJcUrbgbf-UjcR4VgVmzegcTs,"7WW2+H4 Panchhari, Bangladesh",7MMH7WW2+H4
80,Yasin Nagar Health Complex,22.5732401,91.891357,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Yasin Shah Road,ChIJRzzZXm0rrTAR7Gu1gocnoC0,"HVFR+7G Lathichari, Bangladesh",7MJHHVFR+7G
81,"Upozila Health Complex, Anowara",22.224327600000002,91.88901829999999,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Anwara Upazilla Health Complex, Anwara",ChIJAQAA9WAfrTARYo09ZlvjFj8,"6VFQ+PJ Anwara, Bangladesh",7MJH6VFQ+PJ
82,Matiranga Upazila Health Complex,23.0395632,91.8755134,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Matiranga,ChIJRVsJiwHhUjcRpWEMDWB6JR0,not found,not found
83,Dharmapur Union Health Complex,22.605423899999998,91.8735552,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dharmapur Road,ChIJR-rMrSsrrTARCchGag4Y_5Y,"JV4F+5C Uttar Sharta, Bangladesh",7MJHJV4F+5C
84,Chickdair Health Complex,22.5453162,91.8718717,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raozan Upazila,ChIJl0iYPrMrrTAR53apw4UyxD8,"GVWC+4P Dalai Nagar, Bangladesh",7MJHGVWC+4P
86,Union Health Complex,22.4442912,91.8597579,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Hathazari Upazila,ChIJ_Yai6UIorTARTPzkDfwNXBY,"CVV5+PW North Madarsha, Bangladesh",7MJHCVV5+PW
87,Ali Akbar Deil Health Complex.,21.780979199999997,91.8572075,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox`s Bazar,ChIJKYijQtyrrTARhQqoaWAIiRE,"QVJ4+9V Kutubdia, Bangladesh",7MHHQVJ4+9V
88,Kamalganj Upazila Health Complex,24.36586,91.8552128,4.5,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Sylhet Moulvibazar Road, Moulvibazar",ChIJ46DQOISdUTcRI_XX_n5YaHc,"9V84+83 Kamalganj, Bangladesh",7MPH9V84+83
89,"Upazila Health Complex, Kutubdia, Cox's Bazar.",21.818399300000003,91.8530373,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Cox'sbazar,ChIJp0L8ClqrrTARW3o0O3tmpkY,"RV93+96 Kutubdia, Bangladesh",7MHHRV93+96
90,Rajnagar Upazila Health Complex,24.5277064,91.8529515,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajnagar,ChIJgWfACT2gUTcRZw2wxW339t4,"GVH3+35 Rajnagar, Bangladesh",7MPHGVH3+35
91,Kutubdia Upazilla Health Complex,21.818510699999997,91.85288840000001,4.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Kutubdia,ChIJgXmxRuqqrTARI-1-FebYDpg,"RV93+C5 Kutubdia, Bangladesh",7MHHRV93+C5
93,Upazilla Health Complex Bishwanath Sylhet,24.8034991,91.8495092,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","kadipur, Kadipur",ChIJvWf4LR-qUTcR_pZQtA6-xng,"RR3X+9R Kadipur, Bangladesh",7MPHRR3X+9R
94,Manikchari Upzila Health Complex,22.8497025,91.84156209999999,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Manikchari Bazar Road, Manikchari",ChIJpYN22IfYUjcRRO-MP12hTQg,"RRXR+VJ Manikchari, Bangladesh",7MJHRRXR+VJ
95,Balaganj Upazila Health Complex,24.6548924,91.836559,3.5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Balaganj Upazila,ChIJIe44Un-nUTcRpgl5Ycx4AMU,"MR3P+XJ Balaganj, Bangladesh",7MPHMR3P+XJ
96,Hathazari Upazilla Health Complex,22.5088437,91.804165,4.5,15,"['hospital', 'health', 'point_of_interest', 'establishment']","Medical Road, Hathazari",ChIJV3XvM3fWrDARFWKBri6VLJ4,"GR53+GM Hathazari, Bangladesh",7MJHGR53+GM
97,Fatickchari Upazila Government Health Complex,22.6366553,91.79526990000001,3.7,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Nazirhat,ChIJbU9WVeAqUzcR8fXaDDvDELY,"JQPW+M4 Nazirhat, Bangladesh",7MJHJQPW+M4
100,UPAZILLA HEALTH COMPLEX,25.085476500000002,91.75670579999999,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Companiganj,ChIJQViUo1X3UDcRMfeDe_KcEoI,"3QP4+5M Companiganj, Bangladesh",7MQH3QP4+5M
101,Ramgarh Upazila Health Complex,22.9878443,91.7391819,4.4,10,"['hospital', 'health', 'point_of_interest', 'establishment']",Ramgarh,ChIJybVE2AsiUzcRtXhMcQxr5ds,"XPQQ+4M Ramgarh, Bangladesh",7MJHXPQQ+4M
103,Sreemangal Upazila Health Complex,24.3007248,91.73635920000001,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalighat Road,ChIJM3HE4gV7UTcREvOFs2djteU,"8P2P+7G Sreemangal, Bangladesh",7MPH8P2P+7G
104,Proposed Osmaninagar Upazila Health Complex,24.706246399999998,91.73570240000001,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Goala Bazar,ChIJ5RYVFvUFUTcRdMytdWWY8WY,"PP4P+F7 Goala Bazar, Bangladesh",7MPHPP4P+F7
105,"Upazila Health Complex, Biswanath",24.834525,91.72996479999999,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","বিশ্বনাথ উপজেলা, Z2016",ChIJJ-_iQmgDUTcRUpFeLrQx0JE,"RPMH+RX Gor Gow, Bangladesh",7MPHRPMH+RX
106,Ashidron Health Complex,24.2900673,91.7051064,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Ashidron UP,ChIJlRcp4u96UTcRYoSnqEHMNSU,"7PR4+22 Ashidron UP, Bangladesh",7MPH7PR4+22
107,"Union Health Complex, Bagan Bazar",22.947325,91.6819965,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Ramgarh - Baroiarhat Highway, Ramgarh",ChIJIYQTVTEjUzcRpIXMgOEcRb4,"WMWJ+WQ Chikanchara, Bangladesh",7MJHWMWJ+WQ
108,Chhatak Upazila Health Complex,25.0345323,91.6681278,3.2,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Medical Road, Chhatak",ChIJ19tMqtfkUDcRoWOpmK6Q5k4,"2MM9+R7 Chhatak, Bangladesh",7MQH2MM9+R7
109,Kalaruka Union Health Complex,24.988654800000003,91.6663103,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalaruka,ChIJRTqflo_jUDcRy2GN1nTA8gM,"XMQ8+FG Kalaruka, Bangladesh",7MPHXMQ8+FG
111,Budhrail Health Complex,24.742393300000003,91.59561090000001,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Budhoraiel Road, Budhrail",ChIJGfzI0ocZUTcR_jsg9ERspSY,"PHRW+X6 Budhrail, Bangladesh",7MPHPHRW+X6
112,Gajnaipur Union Health Complex,24.507621399999998,91.59205190000002,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']","নবীগঞ্জ উপজেলা, দরগাহ পাড়া",ChIJW8WOGVFrUTcRoxxCFGccdDc,"GH5R+2R Gaznaipur, Bangladesh",7MPHGH5R+2R
113,East jalal pur health complex,24.6818383,91.5759667,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Jalalpur Road, Katia",ChIJTXbPY6wXUTcRkLR07BLQdIs,"MHJG+P9 East Jalalpur, Bangladesh",7MPHMHJG+P9
114,Dowarabazar Upazila Health Complex,25.042999899999998,91.56824420000001,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",not found,ChIJC0M7FlfmUDcRuMKFID7ckF0,not found,not found
115,Upazila Health Complex,25.042827600000003,91.567837,4,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Dowarabazar Upazila,ChIJ4wcdPlfmUDcRa4hDsQv4Jac,"2HV9+44 Dowarabazar, Bangladesh",7MQH2HV9+44
116,Putijuri Union Health Complex,24.4033059,91.5644137,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Putijuri,ChIJM0lq5b1pUTcR6b2IYb79BJY,"CH37+8Q Putijuri, Bangladesh",7MPHCH37+8Q
117,Jagannathpur Upazila Health Complex,24.7789419,91.56345959999999,4,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Street, Jagannathpur",ChIJpT3GlCEZUTcRCL29ydn3eQo,"QHH7+H9 Jagannathpur, Bangladesh",7MPHQHH7+H9
118,Bahubal Upazila Health Complex,24.3391251,91.5381503,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']","Bahubal Road, Bahubal",ChIJ-WM3jxJoUTcRs_4od3u479M,"8GQQ+M7 Bahubal, Bangladesh",7MPH8GQQ+M7
120,Upazila Health Complex,23.0390201,91.51664790000001,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Chhagalnaiya,ChIJbY4HztVqUzcR_xfCkvrbnZg,"2GQ8+JM Chhagalnaiya, Bangladesh",7MMH2GQ8+JM
122,Chhagalnaiya Upazila Health Complex,23.0388683,91.51629559999999,4.8,16,"['hospital', 'health', 'point_of_interest', 'establishment']","Feni Road, Chhagalnaiya",ChIJ98od0dVqUzcRmJC_J1BhRZY,"2GQ8+GG Chhagalnaiya, Bangladesh",7MMH2GQ8+GG
123,Nabiganj Upazila Health Complex,24.5634199,91.51426790000001,4.4,14,"['hospital', 'health', 'point_of_interest', 'establishment']","Habiganj - Nabiganj Road, Nabiganj",ChIJGce8OtM_UTcRRaiqr8VLXuQ,"HG77+9P Nabiganj, Bangladesh",7MPHHG77+9P
124,Mirpur Union Health Complex,24.292377,91.51115659999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mirpur Bazar,ChIJ3am9Y6hdUTcRlVwRRyOCOIw,"7GR6+XF Olipur, Bangladesh",7MPH7GR6+XF
125,Parshuram Upazila Hospital,23.2112228,91.44590009999999,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Parshuram,ChIJfQussiFyUzcRVNwhI4pKqDQ,"6C6W+F9 Parshuram, Bangladesh",7MMH6C6W+F9
