,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
794,"Kaliganj Upazila Health Complex, Jhenaidah.",23.4026689,89.1430882,4.1,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaliganj,ChIJE4dw68fh_jkRJ_5KecvRzrE,"C43V+36 Kaliganj, Bangladesh",7MMFC43V+36
795,Hatibandha Upazila Health Complex,26.1217466,89.1411406,4.2,14,"['hospital', 'health', 'point_of_interest', 'establishment']","Lalmonirhat - Phulbari Road, Shingimari",ChIJJbp-s3oU4zkRF4KaWAPMQWQ,"44CR+MF Shingimari, Bangladesh",7MRF44CR+MF
796,Health Complex,22.4481337,89.13005229999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Kaliganj Upazila, Bashtola, Satkhira, Bangladesh",ChIJD-i4rCHdAToRl1PxPsCYnLM,"C4XJ+72 Gobindo Kathi, Bangladesh",7MJFC4XJ+72
797,Khetlal Upazilla Health Complex,25.0381326,89.12469859999999,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Khetlal,ChIJoeqlYgPz_DkRvNxNvpQQXag,"24QF+7V Khetlal, Bangladesh",7MQF24QF+7V
799,Health complex,25.9371872,89.11875490000001,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",এতিমখানা রোড,ChIJcZijsM444zkRvK38_CVM2Bg,"W4P9+VG Alam Biditar, Bangladesh",7MQFW4P9+VG
800,Upuzilla Health Complex,23.104204,89.1097825,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Jhikargacha,ChIJzeSNwA0W_zkRYCWhPIZix-c,"4435+MW Jhikargacha, Bangladesh",7MMF4435+MW
802,Kushulia Health Complex,22.441013899999998,89.0902752,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaliganj Upazila,ChIJ7Vi3JffnAToRLUWgzh9_fig,"C3RR+C4 Kushulia, Bangladesh",7MJFC3RR+C4
803,Nawabganj Upazila Health Complex,25.4181001,89.08142120000001,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Nawabganj,ChIJVVVVVYq4_DkRiy4vjDZ1BJc,"C39J+6H Nawabganj, Bangladesh",7MQFC39J+6H
805,Duaria Union health Complex,24.2000474,89.07546020000001,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Ishwardi - Kadamchilan Road, Ishwardi",ChIJfUZA-8Qf_DkRUj9KEAcJlrM,"632G+25 Hossainpur, Bangladesh",7MPF632G+25
806,Ishwardi Upozila Health complex,24.127441,89.07101920000001,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Ishwardi",ChIJ2_K73G2g_jkRDqOD0y5yo9o,"43GC+XC Ishwardi, Bangladesh",7MPF43GC+XC
807,Badarganj Upazila Health Complex,25.673455,89.0493125,4.7,14,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Badarganj",ChIJuQzLniVL4zkRvp05b29absg,"M2FX+9P Badarganj, Bangladesh",7MQFM2FX+9P
808,Shashadanga Health Complex,22.6466985,89.04617490000001,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Vill, Shashadanga, Post. Shubarnabad, Post coad. 9400, Dist, Alipur-Putimari Link Road",ChIJmVX_jRFf_zkRaBggfQIbiPU,"J2WW+MF Shashadanga, Bangladesh",7MJFJ2WW+MF
810,Harinakundu Upazila Health Complex,23.6489751,89.0442568,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Horinakunda,ChIJGU_YtMXD_jkRBl1hFZAnpss,"J2XV+HP Horinakunda, Bangladesh",7MMFJ2XV+HP
811,Adamdighi Upazila Health Complex,24.822234899999998,89.044119,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Adamdighi Upazila,ChIJ-w7GzEZh_DkRvVRuZUizcrU,"R2CV+VJ Adamdighi, Bangladesh",7MPFR2CV+VJ
813,Upazila Health Complex,25.195577800000002,89.0409265,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Ganeshpur,ChIJ09XcggiV_DkRMQKj_bI4In4,"52WR+69 Panchbibi, Bangladesh",7MQF52WR+69
815,Upazila Health Complex,24.8216393,89.04009079999999,4,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Bogra - Naogaon Highway, Adamdighi",ChIJH2y3oDth_DkRnYu77G74qOA,"R2CR+M2 Adamdighi, Bangladesh",7MPFR2CR+M2
816,Kalaroa Upazila Health Complex,22.860403100000003,89.03633020000001,4.6,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Kalaroa-Chandhuria Road, Kalaroa",ChIJpWo_UZ9D_zkRjdtkBdrl_hg,"V26P+5G Kalaroa, Bangladesh",7MJFV26P+5G
817,Taragonj Upazilla Health Complex,25.810918700000002,89.0314067,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Taraganj Upazila,ChIJ_8oAVp1J4zkRG6Ea3Ah_XlA,"R26J+9H Kursha, Bangladesh",7MQFR26J+9H
818,Kaliganj Health Complex,22.455734,89.0313953,4.8,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaliganj,ChIJt08bHGzmAToRv8ufKC8G52E,"F24J+7H Kaliganj, Bangladesh",7MJFF24J+7H
819,Taraganj Upazila Health Complex,25.8106984,89.03092600000001,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Kursha,ChIJTxPWCNtI4zkRtWoJoICn5bE,not found,not found
820,Islamgati Government Health Complex,24.5917217,89.0276087,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Atrai Upazila,ChIJhaH1FuRr_DkR3935Pf_jH0I,"H2RH+M2 Naldanga, Bangladesh",7MPFH2RH+M2
821,Helatola Health Complex,22.8842992,89.0267631,4.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Satkhira - Kalaroa Road,ChIJj1R_EPJD_zkRB2HfdhL5Mnk,"V2MG+PP Brozobaksha, Bangladesh",7MJFV2MG+PP
822,"Chowgacha Upazila Health Complex, Jessore",23.2594433,89.0249117,4.7,28,"['hospital', 'health', 'point_of_interest', 'establishment']",Chaugachha,ChIJWZz3z4wj_zkRAchYclI9058,"725F+QX Chowgacha, Bangladesh",7MMF725F+QX
823,Upazila Health Complex,22.462669299999998,89.0247163,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaliganj Upazila,ChIJ6bg5e3rmAToRdScnifoiENg,"F27F+3V Kaliganj, Bangladesh",7MJFF27F+3V
