Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Rajapur Upazila Health Complex,22.5700287,90.1334449,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Rajapur Upazila, Z8702",ChIJE94OkW2tqjARmpXKa6RSEf8,"H4CM+29 Rajapur, Bangladesh",7MJGH4CM+29
"Upazila Health Complex, Rajapur, Jhalakathi",22.5688733,90.1326647,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Monohorpur Road,ChIJFaZgBp-tqjARbOtEnlp7KF4,"H49M+G3 Rajapur, Bangladesh",7MJGH49M+G3
Singair Upazila Health Complex,23.8136016,90.1305619,4.3,33,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Singair",ChIJRyxe1F_yVTcRLcKhr-VbVyM,"R47J+C6 Singair, Bangladesh",7MMGR47J+C6
Dohar Upazilla Health Complex,23.6155357,90.1225296,3.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Dohar",ChIJW5cLFrKPVTcRZ80bEu3Ayec,"J48F+62 Dohar, Bangladesh",7MMGJ48F+62
Swarupkati Upazila Health Complex,22.7468315,90.1036349,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Swarupkathi,ChIJPbmyPg5RVTcR-z5xmG2HdaE,"P4W3+PF Swarupkathi, Bangladesh",7MJGP4W3+PF
Jamsha Health Complex,23.7296796,90.1012923,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",South Jamsha Bazar Road,ChIJHySYvO-MVTcRvump1msjfsQ,"P4H2+VG Jamsha, Bangladesh",7MMGP4H2+VG
Taltoli Upozila Health Complex,21.9884042,90.0890178,4.5,4,"['hospital', 'health', 'point_of_interest', 'establishment']","তালতলি উপজেলা, taltoli comfort diaghonist centre",ChIJLVc2z2-EqjARnS9JiW0kZsA,"X3QQ+9J Taltali, Bangladesh",7MHGX3QQ+9J
Paikkhali Health Complex,22.4673044,90.0859732,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJvQX2BCWvqjARPBIQvSnGWhg,"F38P+W9 Gouripur, Bangladesh",7MJGF38P+W9
Amua UHC,22.3519512,90.0802946,3.7,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Kanthalia, Upazila",ChIJI5q9XhmkqjARQq546LYJEwc,"932J+Q4 Amua, Bangladesh",7MJG932J+Q4
Kathalia Upazila Health Complex,22.3520173,90.0802212,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kathalia Upazila,ChIJbev_WxmkqjAR9rgY2yNgEpw,"932J+R3 Amua, Bangladesh",7MJG932J+R3
Ramna Health Complex,22.2684532,90.0764445,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bamna Upazila,ChIJ1--LLSeiqjARcy977jCH9eM,"739G+9H Balaibania, Bangladesh",7MJG739G+9H
Bohontali Health Complex,24.1382901,90.0757121,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJowClLn_9VTcRkFojuoxcVyw,"43QG+87 Tarafpur, Bangladesh",7MPG43QG+87
Jhenaigati Upazila Health Complex,25.1824278,90.0664437,3.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Sherpur - Jhenaigati Road, Jhenaigati",ChIJl8ND8lHZVzcRLUHUT24lpTk,"53J8+XH Jhenaigati, Bangladesh",7MQG53J8+XH
Kaukhali Upazila Health Complex,22.6203254,90.0624261,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Chirapara,ChIJPbchLrNUVTcRanJA2Y3fNZM,"J3C6+4X Chirapara, Bangladesh",7MJGJ3C6+4X
Bhandaria Upazila Health Complex,22.4897195,90.0589013,4.4,15,"['hospital', 'health', 'point_of_interest', 'establishment']","Barisal-Pirojpur Road, Bhandaria",ChIJa2Uy2zypqjARJUxI7JcbT8I,"F3Q5+VH Bhandaria, Bangladesh",7MJGF3Q5+VH
Bukabunia Health complex,22.3185151,90.0538963,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJabEq9TOhqjARFmgWb-bfYPg,"8393+CH Bukabunia, Bangladesh",7MJG8393+CH
Rajoir Health complex,23.2088409,90.0482472,4.5,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajoir,ChIJ67-LkMR8VTcRk-B3I-9HiVo,"625X+G7 Rajoir, Bangladesh",7MMG625X+G7
"Upazila Health Complex,Kaukhali,Pirojpur",22.6079392,90.0466559,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaukhali Upazila,ChIJXcpZ8l2rqjARvPv29WlwvIM,"J25W+5M Chirapara, Bangladesh",7MJGJ25W+5M
Ghoshail Health Complex,23.6754326,90.0452408,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nawabganj Upazila,ChIJ0cjtwdCLVTcRv5k5Rdv4nT8,"M2GW+53 Ghoshail, Bangladesh",7MMGM2GW+53
Upzila Health Complex,23.9638585,90.0357713,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manikganj-Saturia Road,ChIJediVWeP5VTcRpEbUWRH26UA,"X27P+G8 Saturia, Bangladesh",7MMGX27P+G8
Saturia Upazila Health Complex,23.968753,90.0355205,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nayadingi - Saturia Road,ChIJs_R9uun5VTcReHHxIMSRUis,"X29P+G6 Saturia, Bangladesh",7MMGX29P+G6
Rampur health Complex,24.3093443,90.0302563,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Rampur,ChIJ5yfrnecCVjcRWvUr98akRRg,"825J+P4 Rampur, Bangladesh",7MPG825J+P4
Sadarpur Upazila Health Complex,23.4712822,90.0276951,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Sadarpur,ChIJf1WYCc6AVTcRWqvxiFv3Zn8,not found,not found
"Upazila Health Complex, Madhupur",24.6084259,90.025665,4.9,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Joydevpur - Tangail - Jamalpur Highway, Madhupur",ChIJsSKLnc8gVjcR9QtFeuQEP0A,"J25G+97 Madhupur, Bangladesh",7MPGJ25G+97
Mirzapur Upazila Health Complex,24.146499,90.0202292,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhaka - Tangail Highway,ChIJxwiFG3UAVjcRAnCHpMsIOtc,"42WC+H3 Jamurki, Bangladesh",7MPG42WC+H3
Zaman health Complex,25.0219638,90.0157704,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Sherpur,ChIJlf6fkBXWVzcR3KEaONX80hM,"22C8+Q8 Sherpur, Bangladesh",7MQG22C8+Q8
Horgoj health complex,23.9524522,90.0111201,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJjfm8yPf3VTcRTWDhZXRWHEY,"X226+XC Horgoj, Bangladesh",7MMGX226+XC
Kotalipara Upazila Health Complex,22.9863772,90.004624,3.2,17,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Kotalipara",ChIJrUNT1fBfVTcRluxlfbWhvak,"X2P3+HR Kotalipara, Bangladesh",7MJGX2P3+HR
"Upazila Heath Complex, Charbhadrasan",23.5640224,90.0028999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Charbhadrasan",ChIJb2neB_mHVTcRJBgZhNoUsuA,"H273+J5 Charbhadrasan, Bangladesh",7MMGH273+J5
Upozila Health complex Char Bhadrason উপজেলা স্বাস্থ্য কমপ্লেক্স চর ভদ্রাসন,23.5633943,90.0011155,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Charbhadrasan,ChIJeXmjQ2uHVTcR36onSQgZN1Y,"H272+9C Charbhadrasan, Bangladesh",7MMGH272+9C
Charbhadrasan Upazila Health Complex,23.563364,90.0004371,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Charbhadrasan,ChIJt8usYfiHVTcRvXp-wf_MwV4,not found,not found
