District,Thana,SubOffice,Post Code,location,coordinate
Bhola,Hajirhat,Hajirhat,8360,"8360 Hajirhat,Bhola","22.2474314,90.97250849999999"
Bhola,Hatshoshiganj,Hatshoshiganj,8350,"8350 Hatshoshiganj,Bhola","22.6854694,90.6439027"
Bhola,Lalmohan UPO,Daurihat,8331,"8331 Daurihat,Bhola","22.6854694,90.6439027"
Bhola,Lalmohan UPO,Gazaria,8332,"8332 Gazaria,Bhola","22.281574,90.7081527"
Bhola,Lalmohan UPO,Lalmohan UPO,8330,"8330 Lalmohan UPO,Bhola","22.3403992,90.7366188"
Jhalokati,Jhalokati Sadar,Baukathi,8402,"8402 Baukathi,Jhalokati","22.698634,90.1981509"
Jhalokati,Jhalokati Sadar,Gabha,8403,"8403 Gabha,Jhalokati","22.6406006,90.19867980000001"
Jhalokati,Jhalokati Sadar,Jhalokati Sadar,8400,"8400 Jhalokati Sadar,Jhalokati","22.691245,90.20571079999999"
Jhalokati,Jhalokati Sadar,Nabagram,8401,"8401 Nabagram,Jhalokati","22.7210458,90.2010233"
Jhalokati,Jhalokati Sadar,Shekherhat,8404,"8404 Shekherhat,Jhalokati","22.6406006,90.19867980000001"
Jhalokati,Kathalia,Amua,8431,"8431 Amua,Jhalokati","22.367282,90.0828859"
Jhalokati,Kathalia,Kathalia,8430,"8430 Kathalia,Jhalokati","22.4052778,90.09336859999999"
Jhalokati,Kathalia,Niamatee,8432,"8432 Niamatee,Jhalokati","22.6406006,90.19867980000001"
Jhalokati,Kathalia,Shoulajalia,8433,"8433 Shoulajalia,Jhalokati","22.57208,90.1869644"
Jhalokati,Nalchhiti,Beerkathi,8421,"8421 Beerkathi,Jhalokati","22.57208,90.1869644"
Jhalokati,Nalchhiti,Nalchhiti,8420,"8420 Nalchhiti,Jhalokati","22.6285798,90.2690466"
Jhalokati,Rajapur,Rajapur,8410,"8410 Rajapur,Jhalokati","22.5691455,90.14247809999999"
Patuakhali,Bauphal,Bagabandar,8621,"8621 Bagabandar,Patuakhali","22.3586174,90.3317203"
