Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
রাজা চাপিতলা হসপিটাল,23.6949053,90.9766902,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Raza Chapitala,ChIJ-5qilKtrVDcRFiKhYWatlIw
Bangora Thana Health Complex,23.7154582,90.9853967,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Barashalghar - Bangora Road, Bangura",ChIJy7vt4YBsVDcRQGuvXoojHQw
Care hospital,23.7169141,90.985637,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Muradnagar Upazila, South Bangura, Bangura Bazar",ChIJC9ghYO5tVDcRmVz_S6eaShA
Mohammadpur Motin sha comiuniti clinic,23.540787,91.015093,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","দেবীদ্বার উপজেলা, Mohammadpur",ChIJb7VeloBlVDcRe1crPysJZGQ
Debidwar Harvanga Hospital,23.5209515,91.0081806,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Debidwar - Chandina Road, Mohanpur",ChIJG9iCSX1lVDcRb8bpDGQoAkA
Mohanpur Union Helth Complex,23.5299121,91.017791,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Elahabad,ChIJFwOrCallVDcRRyuzge1e2eI
বাপ্পী মেডিকেল হল,23.558865,91.017963,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Professor Mujaffar Ahammed Road,ChIJ8bwNNrFlVDcRngi3XyGPzUc
মরহুম আনছর আলী সাস্থ সেবা কেন্দ্র,23.5796038,90.9861943,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Debidwar Upazila,ChIJu-JFex1vVDcRCLinsxbIjXk
Manwara-Majid Foundation,23.5815883,90.9708899,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","দেবীদ্বার উপজেলা, Bankot",ChIJ-VsVbiVpVDcRxlLJ_p1PAbI
Anwar Ambulance Service Debidwar,23.58417,90.9935329,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Debidwar - Chandina Road,ChIJadoyfGxvVDcRQ5JsUEhY-Ww
Jalaluddin Foundation Diabetic & Maternity Hospital,23.5850566,91.0038228,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bhiralla - Dhamti Road, Debidwar",ChIJ0VlqjiZvVDcRgGJeklThRm4
জালাল উদ্দিন ফাউন্ডেশন মা-শিশু ও ডায়াবেটিস হাসপাতাল,23.5850457,91.0039579,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",বারেরা,ChIJcXAsLcJvVDcRR9aR6CgMIHs
Chandina Chantral hospital,23.4906318,90.993691,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Belashor,ChIJFYp1V7plVDcR9wnNOV88XkY
চান্দিনা সেন্ট্রাল হাসপাতাল Chandina Central Hospital,23.4898403,90.9940857,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Belashor,ChIJec2cTnllVDcRvIZ7bkc7y5E
Chandina Central Hospital,23.4888095,90.995331,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",অট্রালিকা,ChIJ3760UaVlVDcRS1xfbe04yrs
Durga mondir,23.5435777,91.0434306,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Moynamoti,ChIJ33TO-cFlVDcR26tJcPmMrvk
Madina Eye Hospital & Phaco Center,23.6829313,90.7837069,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna,ChIJj6JRek9HVDcRGgkHn3BIcms
homna central hospital,23.6826544,90.7822971,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna,ChIJUb738mVGVDcRt5gvyPqEcqM
Life Care Hospital,23.6831148,90.7841207,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']","রোড সংলগ্ন, Homna",ChIJmcjj8mVGVDcRR7AJeWyBT8c
Homna Hospital,23.6814406,90.7824443,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna hospital Road,ChIJCWyuaTVHVDcRbKCRQ9YSNNg
Upazila Health Complex Homna,23.6813167,90.7821391,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Homna hospital Road, Homna",ChIJS3DXWR5HVDcRBSU5ev9rpuw
Homna Upazila Health Complex,23.681142,90.7823501,4.4,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Upazila: Division:, হোমনা",ChIJAQDc-ExAVDcR-cKOgi5fOGY
Modina Chasma Ghor and Eye Treatment Center,23.6833495,90.781536,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna,ChIJh-OwUCdHVDcR5xKhOLI2DuI
Doctors Hospital,23.6833354,90.7850749,3.9,8,"['hospital', 'health', 'point_of_interest', 'establishment']","Homna - Gharmora Road, Homna",ChIJgRCMJGRGVDcRtq1tSsfP50U
মা চসমা ঘর,23.6832107,90.7853233,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Homna - Gharmora Road, Homna",ChIJc9XAT1dHVDcRjd79WQnX21A
মর্ডান ডায়াগনস্টিক সেন্টার,23.7055566,90.7956023,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna - Dulal Pur Road,ChIJ8VDKQOBHVDcRGjN_0SOZeE0
Mathavanga Union Hospital,23.656573,90.7869816,3.5,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Katpotti Mathavanga Road, Mathavanga",ChIJi_EEL9JFVDcRZorXwRIFWoE
চম্পকনগর সরকারি হাসপাতাল,23.6595343,90.8029868,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna Upazila,ChIJ0YO60yVEVDcRLVonavS0eVA
GoariBhanga community clinic,23.6632672,90.7556575,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna Upazila,ChIJI6iyEydFVDcRPr7T720Lj24
Mollah Medical Hall,23.713314,90.7979783,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Homna Upazila,ChIJx7aXzZFHVDcRrjA1XpmTmU4
মেডিকেল হাসপাতাল এন্ড ডায়াগনোস্টিক,23.6710109,90.8179826,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Primary School Road, Mymensingh",ChIJ8cOMuCFHVDcRfEEshVkQ7kw
বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি,23.650247,90.7719474,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Haji Zafor Ali Molla Road, মাথাভাঙ্গা",ChIJQYnGg3ZFVDcR5X5D0xnstZI
মুন্সিকান্দি জুম্মা মসজিদ,23.6499302,90.771871,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Haji Zafor Ali Molla Road, মাথাভাঙ্গা",ChIJ-8BBS5ZFVDcRz6lWSReMO-4
মুন্সিকান্দি কমিউনিটি ক্লিনিক,23.6472478,90.7707321,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Munshikandi,ChIJ9QWJkB5FVDcR_YMTjyGre3M
Asadpur Hospital,23.6856118,90.8278745,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Karakandi - Kalmina Link Road,ChIJla7I7rRGVDcR-yYjJWjBDPA
Anwar Medical Centre (Pvt),22.9444459,91.1024275,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Begumgonj Setu, N104, Mir Warishpur",ChIJ-_OTGqyjVDcRu6D7Aln5XHU
Bipulshar Government Hospital,23.0772519,91.104641,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJSeBIrnGZVDcRprY6eROw46U
Sun Diagnostic Centre,23.0509273,91.1113216,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bypass More, Sonaimuri",ChIJa4pws7uZVDcR0aRrFTsUewE
Sumona Manzill,23.0509273,91.1113216,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJAVozmU-ZVDcRGdl1g0dkQ2w
Sonaimuri Healthcare Center,23.0509273,91.1113216,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJ_____xuZVDcRayNmy7gmiBg
নাথেরপেটুয়া উপসাস্থ্য কেন্দ্র,23.1052028,91.1116144,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Natherpetua,ChIJT5tMV8ObVDcRhS57T54mG2Y
p. bogabaria clinic,23.0566831,91.0848285,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nadana,ChIJP4DuPFiZVDcRSZ9K5cxp4rk
নদনা ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,23.0621089,91.0774383,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","A097, Nadana",ChIJfzuixv2ZVDcRJx6jhyx7QEE
Nodona Government Hospital,23.0621544,91.0773951,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nadana,ChIJq2NKWseZVDcRK9eOjYGYy6E
Mohammad Shahid Ullah Bhuiya Medical Center,23.1131318,91.1162736,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Natherpetua,ChIJdTziROWbVDcRgbdi6JosmJs
মোহাম্মদ শহীদ উল্ল্যাহ ভূঁইয়া মেডিকেল সেন্টার,23.1133609,91.1153447,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Natherpetua,ChIJbw47TOCbVDcRVyWJJjyLyXU
Natherpetua Bhuiyan Medical center,23.1134753,91.1168326,5,7,"['hospital', 'health', 'point_of_interest', 'establishment']","R141, Laksam",ChIJZ3A3w-qbVDcRCM68mNBzjT8
Bhuiyan Medical Center,23.1136549,91.1166384,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla- Laksam- Sonaimuri- Chowmohani -Noakhali Highway, Natherpetua",ChIJETDi88GbVDcRcypW1BON1V8
Sonaimuri General Hospital,23.038656,91.1061189,4.5,24,"['hospital', 'health', 'point_of_interest', 'establishment']","Chatar Baria Road, Sonaimuri",ChIJ8fUxUfuYVDcR604qMTqUpQQ
Medicare Hospital,23.0404125,91.0955664,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJz7oDwVWYVDcRGhJTgKDMBNg
All Square Hospital (Private ),23.0401943,91.0956851,3.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJzf8ZwlWYVDcRfAJdnWr3LTM
জাহানারা হাসপাতাল (প্রা.),23.0383148,91.1059559,4.6,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Chowrasta Taxi Stand, ফেনী-নোয়াখালী মহাসড়ক, Chowmuhani",ChIJg18CUPuYVDcRb2YjISJi4q0
Niramoy diagnostic Center,23.0390633,91.0965306,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri Upazila,ChIJL3d4sCeZVDcRPtQjBDjMDGk
Diganta Diagnostic & Hospital,23.2571417,91.1215711,1.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksham,ChIJXc9skGyEVDcRf7dCYhu9v9s
লাকসাম আধুনিক হাসপাতাল (প্রা:),23.2469405,91.1219719,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shopner Shirhi, Stadium Road, Laksam",ChIJ0W-BTQuFVDcR0PHxuf3WkSo
Laksam Adhunik Hospital (Pvt) Ltd,23.2466197,91.1219743,3.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","19 M142, Laksam",ChIJO9J47WWEVDcRh5_Ns-Wr-Ts
Laksham Me clinic,23.2472704,91.1293029,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJ9x6Un2iFVDcRyukrMXyr9uI
Laksam Lifecare Hospital (Pvt) Ltd.,23.2448524,91.1211746,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJyW6xQZiFVDcRcjY7MzlRFoY
Siddik mefical Hall,23.2443701,91.1235398,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Rubel's House, 12 Comilla- Laksam- Sonaimuri-Noakhali Highway, Laksam",ChIJ29ceSl-FVDcRk4OyFcDdBpc
"Siddique Medical Center, Uttar Bazar, Laksham",23.2435223,91.1216271,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","A185, Laksam",ChIJDTHwOmSEVDcRouSbntBXdz0
Lit Healthcare,23.2436912,91.1206725,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Noyakhali, Railgate, মাইজদী",ChIJW1E7cEaFVDcRimbgV0sOssQ
Momotamoye Hospital Private Limited,23.2420078,91.1194105,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Exit Road, Laksam",ChIJKTsrz2aEVDcRDPwMzuo31WY
মমতাময়ী হাসপাতাল,23.2418402,91.1194166,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","২নম্বর, রোড, দৌলতগঞ্জ, Laksam",ChIJfxFry32FVDcRiOwlqTG_gVo
Aamena Medical Hospital,23.2416653,91.1199725,4.1,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Exit Road, Laksam",ChIJIfFvtGaEVDcRftdMeJgNAoo
Unity Hospital,23.2392539,91.1240931,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam,ChIJE7W3EGOEVDcRBuI_S0jTFQE
Laksam Maa o Sahsu Care Hospital (pvt),23.23843,91.1233101,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Aposh tower Bipass,ChIJkd2bzIqFVDcRUIEy70_h_Ts
Laksam Medical Center,23.2382799,91.1240347,4.2,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla- Laksam- Sonaimuri-Noakhali Highway, Laksam",ChIJLW5q4WKEVDcRFgS08u3TrRg
Al Noor Hospital,23.2381175,91.1237102,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","221 Noor Plaza, Bypass Road,Laksham,comilla, Laksam",ChIJTZ5v_GKEVDcRCzeHbEcDKv8
Shamsul Alam General Hospital (শামছুল আলম জেনারেল হাসপাতাল),23.1122124,91.0765746,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Lakshmanpur Bazar,ChIJ36bJvQKbVDcRUzWfpqVHAas
Shamsul Alom General Hospital,23.1129828,91.0752436,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Lakshmanpur Bazar,ChIJd2iBUhSaVDcRw3gRdpDGlos
শহিদ আবরার চত্বর Sahid Abrar Square,23.1130435,91.0752056,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Lakshmanpur Bazar, লাকসাম",ChIJS_O2tYWbVDcRcHivw5Sq9Hw
ADHUNIK MEDICINE CORNER & DOCTORS CHAMBER,23.1166707,91.0777722,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJL1a1fFmbVDcRz7xf66DBL9I
ফি-আমানিল্লাহ্ হাসপাতাল,23.1166708,91.0777723,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJZyL-fnObVDcRtJvCCASvumc
Bangladesh Therapy & Rehabilitation Foundation (BTRF),23.1215699,91.0908864,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Manoharganj Upazila, Rd No. 12, ঢাকা",ChIJHz4DUQKbVDcR4VqhoLSsUL0
আমেনা মেডিকেল,23.123618,91.1036005,2.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJZ-pCI7GbVDcRGhkAKYUN16Q
Devpur Community Clinic,23.078837,91.054678,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJZ2h-QBOXVDcRqS8e0_-xg64
সেবা ডায়াগনস্টিক সেন্টার,23.153698,91.059311,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJeyOJu12bVDcRQwZdIEWeFgg
Monohorgonj Upazila Health Complex,23.153882,91.058448,3.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJw3Mx4XeQVDcRQmOtskezD-w
উত্তর ফেনুয়া বন্ধু কুটির হাসপাতাল,23.155034,91.1017556,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Banduyan - Fenua - Munshirhat Road, Uttor Fenoua",ChIJY0HTfxubVDcRtYqlXsQtqLU
Dhalua Medical Center,23.1255524,91.2386599,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhalua,ChIJo_SQsjxjUzcRzC70VaJ70Fc
ঢালুয়া মেডিকেল সেন্টার,23.1255663,91.2387256,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhalua,ChIJXR7N249jUzcRHvFeEKShpiw
H.M.C হোমনাবাদ মেডিকেল সেন্টার,23.1241504,91.2389475,5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhalua,ChIJSV_SDBVjUzcRa01TgubqnDk
Zaman's Clinic & Hospital,23.1155532,91.2313618,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJAQAAAEBiUzcRYNU9iAWQ0rU
Aliara Al Obyad Hospital,23.1424142,91.2393482,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJO3CxCfdiUzcRYOMFiEVOYvQ
আল-ওবায়েদ হসপিটাল,23.1461732,91.2381338,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJWwepJfFiUzcR4Bk-eYfeVpo
মজুমদার মেডিপ্যাথ ফার্মেসী,23.1271023,91.215076,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJT0pl7rRjUzcRuhYBDsHw4kY
গোমকোট সরকারী হসপিটাল,23.1461276,91.2232506,2.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJGZ2If8xjUzcRgTvIqiFAK4U
গ্রামীন মেডিকেল হল,23.1482579,91.2529221,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJ96qn_wJjUzcRE3dGAzXCxQw
নাঙ্গলকোট হোমিওপ্যাথি মেডিকেল কলেজ ও হাসপাতাল,23.1522728,91.2305348,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJL0GnAJ1jUzcR5WWSLt87e7c
Nagolkot physiotherapy center,23.1528375,91.2229478,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJD6eNzfhjUzcRb9G7J-nZ7fM
Shreehashy Community Clinic,23.1257704,91.1987483,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJsQTAbYudVDcRHsiAFPCSVpA
আফছার উদ্দিন মাসারপাড়া Masarpara Bottali,23.0924189,91.2216295,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot Upazila,ChIJEU5I4aFjUzcRAgyKpIHwoXA
Kosmo Politan Hospital,23.0151619,91.3934797,4.4,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Grand Trunk Road, Feni",ChIJrZgrpTloUzcRCMKzoKMCtTo
Cosmopolitan Diagonstic and Consaltation Center,23.0146127,91.3939067,3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Feni,ChIJ_d6bvzloUzcR5cavTQv2Q_g
Cosmopoliton Diagonastic and Consaltation Center,23.0141397,91.3943896,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Haji Latif Tower,, ফেনী",ChIJd04k6TloUzcRhHwkUbJTimA
Al Amin General Hospital,23.0144413,91.3991158,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Mizan Road, Feni",ChIJk3EEljZoUzcRWil7hZ3YOtg
New Bangladesh Medical,23.0878719,91.298038,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gunaboti Bazar Road,ChIJaQbMiKhmUzcRBMzhFN_vyH8
হাবিব মেডিকেল,23.0878781,91.2980832,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Satbaria - Gunabati-Podua - Feni link Road,ChIJ64jfDhJnUzcRwb6Ub77_Cl4
Monwara Rakib Diagnostic and Research Center,23.087992,91.2986414,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Gunabati,ChIJkfb8WWxnUzcRiW_kn6coUb0
Gunabati Medical Center,23.0899278,91.2983534,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gunabati-Saheb bari Road,ChIJY_33_IhnUzcR_QLL_BorLT4
Mojumder Medical Hall,23.0902137,91.297802,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Gunabati-Saheb bari Road, Comilla",ChIJkSRTMOJnUzcRnRwsAqBHN1E
"Satbaria, Packoribari",23.0748333,91.2814703,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar, Satbaria",ChIJJ5cZ56RhUzcRUaLsd_lVLgw
বহরম পাড়া কমিউনিটি ক্লিনিক,23.0749839,91.278271,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bhaharam para, Satbaria",ChIJOcWb7qFhUzcRN-Dcpo_bfo0
Gunabati Medical Holl,23.0872308,91.3254575,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gunabati Podua Road,ChIJQfk144BmUzcRqMsXtsLIEEI
Al-Watan General Hospital,23.0903608,91.3361833,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chauddagram Upazila,ChIJu-LkDHhmUzcRL0h19ZuQQio
Bhazonkora Community Health Center,23.0991936,91.341986,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Karoon Dighi Road,ChIJNaGrh9tlUzcRTC1IFw9YEQ4
সাব্বির হোমিও ক্লিনিক,23.1694062,91.1977158,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Chal Bazar Road, Nangalkot",ChIJzSF8CxmdVDcRY3elgELAQH4
apollo medical,23.1696121,91.1990976,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","লাকসাম-নাঙ্গলকোট রোড, Nangalkot",ChIJEzZE47qdVDcRIbOCoObgLRc
Apollo medical services,23.1696444,91.1991223,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","লাকসাম-নাঙ্গলকোট রোড, Nangalkot",ChIJ86AQt8OdVDcR2hywu1Iw4eA
Nangalkot Upazila Health Complex,23.1709671,91.1986256,4.2,27,"['hospital', 'health', 'point_of_interest', 'establishment']","Z1048, Nangalkot",ChIJ5VIKPkSdVDcR83JRK1S-s14
জেনারেল হসপিটাল,23.1706077,91.1991731,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot,ChIJeZDCa0SdVDcRR7RbIhdzwpw
Nova Hospital Nangalkot,23.169839,91.1998222,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","লাকসাম-নাঙ্গলকোট রোড, Nangalkot",ChIJueuL_h6dVDcRzBoaEABiKyQ
Nangalkot General Hospital,23.1680204,91.1998104,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot,ChIJ0UV8RGSdVDcRgAc6ddrrnBE
সাব্বির হোমিও ক্লিনিক,23.1669764,91.198699,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot,ChIJE5SBU42dVDcREvxnpAeCO9g
"Surjer Hasi Clinic, Nangalkot",23.166739,91.1969622,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","খিলা-নাঙ্গলকোট রোড, Nangalkot",ChIJBZtJggidVDcRALggqoynFv8
নাঙ্গলকোট ডক্টরস ল্যাব,23.1664844,91.1990986,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot,ChIJGe9vtSudVDcRW9VVbl_QNqA
Janota farmacy,23.1663933,91.1989283,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Z1048, Nangalkot",ChIJc3CpSkKdVDcRq2eBIwtpd8c
Nangalkot Animal Hospital,23.1668929,91.1948079,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","খিলা-নাঙ্গলকোট রোড, Nangalkot",ChIJ0Z3sYXKdVDcRqiH80rTCzvQ
Nangalkot Ultramodern Hospital,23.1684643,91.2022385,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bypass Road, Nangalkot",ChIJM3XVv7ydVDcRTW0Y5J2jCvc
পাটোয়ারী জেনারেল হাসপাতাল,23.165286,91.2002614,1,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Nangalkot,ChIJDRLV9UKdVDcRM8lUDyCwwjA
Muradnagar Upazila Health Complex,23.6401853,90.9317536,4.1,21,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Lane, Muradnagar",ChIJVSlDn71pVDcR262H4eNVVXM
Trauma Centre,23.6376429,90.9712205,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla-Sylhet Road,ChIJDQa_tzlpVDcR6HCyDl-QI98
Life Line Hospital,23.6418902,90.9699076,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJXbdYOPNpVDcRxPjZTLlaFOQ
মা ও শিশু জেনারেল হাসপাতাল,23.620923,90.974744,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Debidwar Upazila,ChIJVZFkjfdpVDcRh7OY1VZXozQ
সালাম এন্ড আতিক প্লাজা,23.6207997,90.9747456,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Debidwar,ChIJndKu_ChpVDcRAB7qcpc8hIY
আল-ইসলাম হাসপাতাল এন্ড ডায়াগনষ্টিক সেন্টার,23.6124543,90.9821954,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Debidwar Upazila,ChIJKQxeEcJvVDcR3htsj6T8rnQ
Community Health Clinic,23.6625417,90.9466575,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Mucha Gora,ChIJO0TaVn5pVDcRglLhqgVJboM
Micro Path & Hospital (PVT.) LTD.,23.6382304,90.9331887,4.3,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Clinic Lane, Muradnagar",ChIJdcVu3rxpVDcRIJag7JrC23k
মাইক্রো প্যাথ এন্ড হসপিটাল (প্রাঃ) লিমিটেড,23.6383446,90.9331528,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Nimaykandi,ChIJi8vSOudpVDcRMS8zCXP7tXw
Al Arafa Diagnostic Centre,23.6083408,90.9881073,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla - Sylhet Highway, Debidwar",ChIJd4DsXy5vVDcR-7Z3V8lCZY8
Muradnagar Hospital,23.6405101,90.9317984,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, মুরাদনগর",ChIJx1qynb1pVDcRf0aDCA09UX8
DR KAMRUL ISLAM (CHAMBER),23.6390611,90.9316828,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Razzak Plaza, Hospital Lane, Muradnagar",ChIJ6ZBTvsZpVDcREtV--DihphA
ঢাকা ডেন্টাল মুরাদনগর,23.6380878,90.9305116,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Thana Road, Muradnagar",ChIJS5PRVflpVDcRloXHR-7Nqhs
ULO Muradnogor,23.6416384,90.9305404,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bancharampur - Muradnagar Road, Muradnagar",ChIJw2jA5TZpVDcRtIT0WNgQS_4
Diamond Pharmacy,23.6386033,90.9299228,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Kacha Bazar Lane, Muradnagar",ChIJefiOSGJpVDcRh8x75d46AXg
Ma Moni General Hospital,23.6052867,90.9888017,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']","North Side Of Post Office, Comilla - Sylhet Highway, Debidwar",ChIJIWxS1jFvVDcR7kYQmfzOIY8
