Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
ঢুলিপাড়া বেগম নেহেরুননেছা নগর স্বাস্থ্য কেন্দ্র,23.4468477,91.191971,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhulipara Road, Cumilla",ChIJMwJjJBV_VDcRYbfTt7S8W4E
উপজেলা প্রানিসম্পদ দপ্তর ও ভেটেরিনারি হাসপাতাল,23.4104577,91.198935,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar Dakshin Upazila,ChIJld_NY6h_VDcRQz4bcnQjGyw
"Upazila Livestock Office, Cumilla Sadar Dakshin, Cumilla,",23.4104131,91.1989347,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Lakhinagar Road, Cumilla",ChIJFVpE0FR_VDcRLi8zxWVnZ1g
সদর দক্ষিণ উপজেলা প্রানিসম্পদ দফতর কার্যালয়।,23.4103317,91.1990059,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Dhaka - Chittagong Highway,ChIJ1fnWJDV_VDcRjnkTLnB1C4E
Comilla Sadar South Health Complex,23.4093611,91.1970883,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar Dakshin Upazila,ChIJw5YexpZ_VDcRa-6kpxiZ77w
Cumilla CMH,23.4832481,91.1099839,4.3,45,"['hospital', 'health', 'point_of_interest', 'establishment']","Burichang Upazila, Mainamati Cantonment",ChIJxf0eXY57VDcRLRPY7CEQRdY
রাইসা মেডিকেল হল,23.4687053,91.1263588,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Uttar Durgapur, সাহেবনগর, কুমিল্লা ক্যান্টনমেন্ট, কুমিল্লা",ChIJGULyDIx9VDcR2XyOnOhqTUs
সেবা হোমিও চিকিৎসালয়,23.468304,91.1257483,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","কুমিল্লা আদর্শ সদর উপজেলা, Uttar Durgapur, Sahebnagar, kotwali, Cumilla Cantonmen",ChIJ-2Hl2ht9VDcRrzl3_XGVx7U
সৎ সঙ্গ ফার্মেসি,23.4937064,91.1063096,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJAQi4qPR7VDcR5_KHNzUzOv8
বাংলাদেশ জাতীয় অন্ধ কল্যাণ সমিতি,23.4697976,91.1376954,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","চক্ষু হাসপাতাল - বড়দৈল সড়ক, Bordoil",ChIJHx4LIfR_VDcRHgXc7YljOxU
"চক্ষু হাসপাতাল,বিকু ও বিজে একেএস,বাংলাদেশ জাতীয় অন্ধ কল্যান সমিতি",23.46965,91.1376996,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Adarsha Sadar Upazila,ChIJq7Z3dpF_VDcRGY87BEXcktM
চক্ষু হাসপাতাল-Eye Hospital B.J.A.K.S,23.4694652,91.1376972,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Adarsha Sadar Upazila,ChIJ67NpOIp_VDcRJgN1zKQoI2Q
Bangladesh Institute of community ophthalmology & Eye Hospital,23.4694689,91.1377166,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","চক্ষু হাসপাতাল - বড়দৈল সড়ক, Bordoil",ChIJ6WkTpMp_VDcRiDt7rB7Lzyw
Mental Hospital,23.4787126,91.1423099,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Uttor Durgapur Road, Cumilla",ChIJB4cBX6J5VDcRK2onmy4cKs0
Mainamati Union Health Complex,23.497741,91.1058409,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla - Sylhet Highway,ChIJfeNIpqJ7VDcRm-KS-vtF6hU
Bangladesh Jatiya Andha Kalyan Somity,23.4667167,91.1403384,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Dhaka - Chittagong Highway, Cumilla",ChIJq9kRsq5-VDcRHKzKWKBPe2o
Allhamdolillah Medical Hall,23.4877356,91.1449438,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gumti River Dam Road,ChIJqQTvnJF5VDcRYNHIrC1aVkQ
Medical Center,23.4372197,91.135131,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla - Kotbari Road,ChIJAbIHAyh8VDcRTBntdSTBUWs
